"Measurements/Samples","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Pro_0.0",2792275.65261009,2165786.45237731,2896622.95577081,3366001.98356245,2301635.22205803,3249515.18598076,3831262.72029989,3105878.0199202,3373322.8428886,3259815.47291381,3448785.79104605,2371445.77540229,3154406.1605084,2404550.14391349,2188063.40229616,1913215.16880207,2344731.8176911,2723250.63383338,1820875.09228692,2494458.33099243,3752119.39745951,433135.849821509,3006718.17828043,2862613.0528563,2772674.7785688,3687082.3000286,3794336.65688625,3239796.67178203,2431732.57483436,1676532.99715521,2540661.80344793,2691888.94597338,2038242.25837757,4263909.60168103,3690463.78121692,2305030.88226994,2708073.88246937,2649889.12990684,2647640.56511072,2782213.21758415,2457059.24245593,3276738.33170232,1995395.70028248,1496392.76987499,2887721.20051022,2445299.34975773,2502194.81005515,2437942.62803726,2863819.30325677,3126195.78220031,1937158.37387355
"Pro_1.1",283739.172754517,254755.133855962,307723.649786327,337599.418341876,243047.921996447,333507.220775208,402096.319326709,305705.040847431,358875.599824755,307554.098035916,356532.391411727,281023.037890813,316581.347863483,244495.129570718,215791.943768273,210221.79776324,242657.702079373,281721.253115985,182449.951033545,258864.527473266,380786.838929091,44142.2942797361,305730.08175144,293875.453024843,283584.426793043,355434.238543557,388880.031949969,327000.215556236,245567.704650633,176823.932875201,266534.301014465,265134.363006293,214137.876896001,431340.068372132,372200.585382926,255683.186409015,282997.957422677,264790.516115913,302619.877172946,275450.86565735,254143.794719582,326260.894646074,219392.60114294,160586.430280127,292374.481919498,243284.046794582,250574.655969841,266153.4305927,288775.420998271,316271.572641585,206696.124290504
"Pro_2.2",30876.7949225988,51789.5117731706,35161.5166493378,40268.326729119,27845.2805106353,39913.9652923105,46837.3212524957,32857.8638637303,39345.1044187671,34987.1271116956,53541.9475501112,60796.8293360399,35112.569671369,28255.103887512,25460.1024365591,37659.8761189294,28255.6392537897,42576.9415509949,22522.7912306388,29644.5585830117,52554.5083839607,0,36152.0526835207,35536.8278620284,33156.300865713,43205.7655349795,45421.2657261885,36787.4900048067,29722.2752035477,27975.9584925155,29707.0472806855,30807.3165719783,28571.4228183432,45715.1086598503,42520.699988388,56934.4668431987,34515.8582928429,30028.1693251316,63761.5493170357,33548.9596416369,25712.7207694298,39891.0217322721,39559.3534149651,31065.1169444733,34896.2336104673,29289.205011668,30279.1421306579,38619.8060576454,36299.7080989152,41063.199907379,31669.7840815484
"Pro_3.3",0,110778.278221168,0,0,0,0,0,0,0,0,50166.742285235,122602.374793047,0,0,0,55117.6775085483,0,29753.8823227139,0,0,0,0,0,0,0,0,0,0,0,31048.4665436782,0,0,18184.1079219591,0,0,103787.541899808,0,0,137273.356598186,0,0,0,76354.0416970711,38493.162598606,26740.1560826129,0,0,45816.9084729789,0,0,36881.1737658879
"Pro_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pro_5.5",0,366105.136644427,0,0,0,0,0,0,0,0,191687.64559076,431983.277811177,0,21041.6879557067,0,175455.413298903,0,101548.799459427,0,16694.9319126825,0,0,0,0,0,0,0,0,0,112247.852628043,13924.0285285174,0,57718.933243382,0,0,343357.098005026,0,0,451207.814129199,0,22409.5613933859,0,219006.067716069,123748.675921231,82025.8379078177,11295.1523331602,0,158877.399872644,25152.8555166887,0,118527.833510413
"Asp_0.0",24691385.991649,28074791.744946,26426292.3532398,24487731.6760312,17693546.4600706,23882914.5030884,27006254.5852752,20367762.3237502,25435221.4292405,21644202.2751499,25990476.1401966,22141815.311287,27515184.6958898,23675336.1937937,20101742.7789985,21542211.4465487,24315524.9572956,26774873.2461849,18943341.0330137,24024476.5222891,24192646.3152357,235634.840377103,22542180.8498091,22721519.5921941,26553749.4184342,24879448.7369022,27324217.3352806,25300873.6725235,20493201.3584672,15730846.353879,21460865.6382401,24402819.0583122,19564122.6272027,24334218.3917357,23950862.3871183,21816517.8383057,24787456.554772,9185164.28161482,26173804.2264193,22115076.9740406,25339380.7053726,21563672.5775536,25735736.0326494,17668859.5990615,24353377.747401,21211371.2769714,19037565.1809055,24152148.2113674,21409367.9743802,23960913.8382739,18413307.3434053
"Asp_1.0",1135663.35665818,1317084.8262271,1177780.71702541,1182468.02097093,829634.000125496,1131028.36593311,1259829.38303732,951492.648967761,1191002.36886533,1036581.9684661,1282864.31661659,1059699.31954513,1255899.83406659,1156397.76094925,921146.530018061,1035067.27082333,1126924.67634477,1262587.39815442,879831.737155726,1186909.23642677,1141308.80956914,11224.3449144239,1026457.42066341,1074478.20573001,1316985.54637038,1208125.10469992,1361937.97198997,1192053.03349572,971779.382288645,699529.508200811,1038734.90594522,1201047.01333096,916852.014171186,1118497.00058145,1138307.12371316,1030660.41836955,1189689.38932979,419070.700725708,1184610.66156558,1067599.01801617,1151503.98296197,1038829.97166087,1247068.32509041,861678.820338592,1173744.68809163,1051161.37165433,978420.841948122,1169564.05969719,966695.028448322,1150803.73928485,847761.938842005
"Asp_1.1",2910234.61631374,3456577.79854254,3096699.8469732,2885482.66454793,2115624.99581517,2903496.55657615,3354602.41489276,2508916.47993481,3078007.58635794,2559847.84492569,3344939.43312556,2718224.37800478,3351033.61218736,2893431.55019617,2468389.92564248,2629306.7338075,2857692.73086001,3341774.63027979,2206745.07729296,2970093.58814112,2813640.87555077,27907.3343161717,2752328.70166431,2745838.26031325,3288860.31455923,3048092.01822645,3437645.47310564,3013450.98846371,2509957.97902862,1824784.19396935,2593433.7039357,3104522.17800175,2379669.42304716,2875246.57769179,2819142.77541319,2635987.2717474,3114432.50143408,1015580.34833712,3201538.93397831,2816874.5093206,2944490.81211713,2556878.43073229,3214026.53806422,2125351.17317278,3073925.89667795,2653534.37447493,2294605.19670691,2983484.33578093,2480121.03479463,3000062.49334646,2233692.93353815
"Asp_2.1",137999.720244771,271684.613101129,144557.690664513,135301.865622709,98803.6580419785,133261.878074506,143248.27681673,114482.789868475,139589.405650643,120063.78980243,202176.664001592,240411.851359119,153801.386144588,141853.980604481,112104.198446658,206047.500438179,138824.37624926,239686.196091577,103385.450288275,160893.061495729,133924.016714661,0,126108.382606805,135266.463550991,152854.469987858,135074.24916479,153841.682067956,142409.88838399,113497.554652112,136861.208542885,131397.24699241,135324.83574031,155541.399417525,133833.867178111,131677.443607461,213158.252631088,134964.854198548,49016.7108221554,246709.240997994,126654.074042148,146880.192945865,127137.653788249,277968.328107386,176493.172463695,195052.077980668,135670.293604286,104596.868982525,192058.619990298,128212.484817919,133660.163804164,163125.516306684
"Asp_2.2",371478.211938961,557875.416947589,403301.143176252,380461.133898863,274745.912932775,352999.481493651,427138.485346291,322764.452162827,391841.049306365,335959.401197915,466097.586905905,459480.120861041,412767.14214573,384698.453687312,303928.900215541,419128.948979718,366384.380090763,488975.60005937,281601.049990477,393471.15080814,370464.582157487,0,342986.400228473,365293.572525014,413828.476774507,376889.622829685,442107.741246721,378334.259814387,312607.397249947,289848.168853139,339691.99874546,385153.940178474,353599.036273076,374458.451825058,368503.915334132,442083.400253688,391315.528126154,130480.779985368,513041.237182028,366070.299036118,388488.177789559,313839.333840871,518363.095315145,353416.383654028,449069.935270539,361003.872800954,299109.982049204,447574.341583306,327660.482652242,393680.457001078,346917.803524846
"Asp_3.2",17634.9987195624,93036.1715618978,16463.4115319893,18048.8253332822,12002.6850004843,17637.2917274389,20081.1207494322,13779.2545076062,18444.4511276322,17480.3384296957,60053.3704220004,92787.3615052583,19716.115845685,27635.9230124251,14432.1063057628,73785.3235536421,17686.5389223825,69088.1785483814,14220.0020785809,33521.0116868919,17625.8865894613,0,16404.6251685801,15193.3476213817,19610.652295697,17898.7608876505,20272.3869643588,17666.1696136662,14647.4047013811,46010.1714783456,26711.4480574418,17395.1838373185,43256.0828629275,16298.4443475146,17684.9529647444,76761.6503338235,17941.4729908662,5765.4333260975,81103.8674645744,18043.9390534602,23336.6261660545,16519.1583412991,93056.471858774,64660.5265904821,61701.5465376436,28169.3878223076,14099.4311608628,48474.1163604521,28843.0979439819,18979.7241193027,56463.0376416131
"Asp_3.3",31530.6381297517,88207.2077379629,32549.4532560964,32567.6319270453,23318.052461796,30455.9470093022,33618.0802629675,25991.592795186,33744.0665191557,28310.949426676,64404.4708489029,79206.2957061289,35629.5662391069,35140.5243643136,27971.5093564032,67173.7140679992,29902.6202013258,67710.5153043583,20532.4594334367,42523.8144960842,30715.163586976,0,30244.225731458,28376.4397170216,35912.7638293404,31847.4305538216,37252.3445965784,32981.6088741411,25303.7158878111,42640.834671094,34954.741603581,33873.9327717331,49491.8408175159,33127.3623768688,31415.7993786809,65507.9443545171,36873.5974402063,12806.2805826291,79775.107462221,27063.6476353414,35563.6534707837,32108.9250796032,82886.7502200411,57906.880051662,60407.8679755436,36678.5340140249,25021.438265928,54894.1706732354,33153.0504563027,30088.9351328678,50342.6151688323
"Asp_4.3",0,817753.769851228,0,34821.0663453828,0,12546.9373902045,0,28412.4232006929,0,24252.2803172369,564056.486918439,943692.504073194,10249.2803206468,177776.392339115,12159.5849718457,704785.517402793,0,618121.340887086,0,244487.928539077,0,0,0,0,0,0,10564.6508230482,0,0,432415.324017799,202547.745216066,34446.8914998841,406089.958445863,9672.24164061928,10308.1646112893,755713.129402944,30378.5170051267,0,750672.759233203,12062.2583593884,124418.313935984,0,941074.324481044,588812.525843836,548297.568154684,214855.544445583,0,459524.840030448,207225.590378575,0,532952.755205914
