"Measurements/Samples","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Ser_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asn_0.0",7234049.01104829,5890650.50622363,7491117.96750934,6279560.27015336,4700612.39950244,7008139.31323848,7769355.736388,5737464.43751641,7621693.65163772,7695458.15940139,7637521.64978596,5207159.34145116,7628136.46097273,6406826.88866985,5431039.7444101,4305311.48831868,7688349.24031007,7596852.16127712,4541974.34178824,7631809.73426204,7575124.55023506,0,7268706.25268844,6174688.16754854,8174390.56268197,8300913.74340166,8186811.83357818,8023299.57979911,6490931.03495931,4024204.99279891,5605904.86564601,7840000.31013923,4533558.54528214,7661378.88902522,7011475.93658046,5055712.70539945,7042797.44629483,9953850.60711133,6029523.88826214,5809058.60601431,7163411.62654252,6458562.15297398,6183007.14878141,3510810.41568952,6421808.5799078,5395517.72519121,5028012.46374534,6296545.58595773,6230500.18099823,7411182.59013701,4651302.38532067
"Asn_1.1",646682.168127469,504192.551402563,683263.522716921,572611.064594505,402787.869405107,612189.960052501,701009.198669682,502083.986143707,666152.938800098,637730.067260777,652726.239066147,466369.076591333,707551.370847694,560324.886749562,480844.215354532,379613.029699492,713678.007727327,689054.958996418,390892.585780309,687420.367398847,662480.065258715,0,680079.52369479,523775.401699531,721148.812217926,730004.225644845,753170.205009156,727673.573158623,594485.528323818,329250.377261746,483923.544912369,685905.443431058,401374.242128245,677793.654983681,648732.328822065,428778.38275223,668625.129310258,912914.282987407,521955.985191383,518018.579012661,642210.529243103,556421.57440896,534627.24101349,305125.268636332,566947.311235115,465228.048587648,431741.214498508,543809.314637855,586286.550611341,628812.358858109,402963.56525798
"Asn_2.2",53596.0171076316,52360.5889286348,57389.384811519,47848.0045409356,38340.5539217375,53083.7245834421,63172.2793902527,49204.745897843,57734.535326526,53402.9609898436,58043.8807895216,46965.9552156586,59648.7696296411,47398.1895717081,40732.1294770968,41773.8200969375,59934.3042483526,58573.9171900546,36814.6765571819,54236.5298127955,56452.2819379311,0,55501.9076832457,49440.1623887398,61371.5087656634,61968.3813735856,65142.3538444385,59648.3683659963,49836.1073641066,31716.7299784395,45519.3517646806,60173.9584818462,40787.4396149727,58592.1820941603,55149.2297815856,41887.7933136223,53824.7225448436,79453.8688805746,49648.4127316181,47098.6979170834,57606.3889145766,53345.2563809391,53380.3022634443,31578.208772834,52356.8651100675,44292.1326350876,39705.69728512,50529.4252032988,46008.6938686069,57208.7638970983,35849.7842086721
"Asn_3.3",21303.4271023625,26238.1832146705,22668.7047832459,27513.922047887,22674.2847456084,24926.3141703403,25191.640974444,25404.7237327074,18579.7653985221,16171.1694875567,21955.1852596809,20214.8208012419,28395.6899992964,26861.147948138,28145.8031337494,23780.5220785609,25583.7203029887,22936.4148369361,36151.1359331133,17143.253349056,27869.1078016108,0,18110.6427321212,26656.1238214122,28988.9115072556,22324.1300119656,28277.0383838642,22336.2555559881,22158.2056653133,21358.3385801471,24214.2712816288,22122.5811622378,27457.3069623417,20220.2792760232,26147.6795385596,22394.7844341454,18523.4956740378,29627.2554826193,21605.5430435214,25583.2912860671,21774.816596485,30258.6828710576,24155.0928290406,20423.3373115006,20659.5094325823,28051.9537270434,13867.3314719609,25465.6449402058,16815.1237164001,20300.9968901717,22479.9250303849
"Asn_4.4",28420.4719393151,52809.1566669879,34501.473263099,26578.3508404527,19845.437719133,28203.9880657874,36333.1251412303,23244.8449463007,32987.067596358,28291.5851603061,41454.1993567274,36641.6051950468,32641.8507423321,30470.5670078371,23553.3084449792,40056.1446470715,31297.8240633813,43012.8554380268,21628.6187540619,34788.6368137287,31140.7160705054,0,31614.559929639,25729.7721438179,35231.9613980038,32037.6294930122,33034.2507624855,33117.6901920989,26579.2876953078,18396.8734312405,22605.8812296913,29470.518740884,23552.2838728352,34415.2047602348,63705.0130101886,42967.0803250364,37046.6893907687,39836.5070928371,53620.0178133862,23003.3819664971,30692.3814301932,26195.0110690743,48270.5596876868,28818.0164399537,32806.1551154399,20578.6489372828,23440.0957600014,31867.1267595436,25528.5865108564,31626.9982788303,21807.5181918331
"Gly_0.0",560068.992739727,577842.650709997,551926.650488134,717280.349918308,441165.318569095,639924.912350765,806078.748531912,644836.633886756,738820.941892296,596474.154880518,834117.726474184,767251.074459261,625527.921579109,459122.807236965,405563.08238595,613181.861276286,441191.33367062,692492.781147336,363167.273774168,490591.999178558,768557.276742054,2002222.23150462,607932.900671153,576373.409327952,573553.350917841,727755.12240824,827088.090963783,623306.93903235,472551.048567928,447072.456184381,550844.555260437,565518.05522469,509878.386842198,911176.388253845,727495.996076771,704243.441471703,508156.733732977,638247.816062666,815877.386230728,592688.284702486,510535.738050609,659568.643953355,582268.289846943,489246.32400899,706683.145750732,547991.937895945,474771.470377281,560020.007835317,534769.335748319,618782.233606964,562000.301162332
"Gly_1.1",41452.1125652481,49063.8740179315,44314.9004350793,56018.1466573655,34944.4732357331,49838.3716828368,62322.6920209333,55087.3484926277,52723.9125867601,45407.7827776597,66652.1337539017,59085.8390283284,46309.2602272474,35181.6677049579,33551.3172974801,48764.8759570729,33586.4722139507,52862.8834225688,28188.2640621565,38669.926755083,59136.7190370519,153625.213939922,44596.4116721499,44777.2774439598,42991.7297311998,55633.3110876209,61218.7391829357,45946.855552096,35992.8822714177,34611.5821648617,41419.5960251121,48240.5602887628,38049.7102719438,69581.6259929725,57296.9532348307,54796.9551453096,37916.0832310025,48681.7340120637,64162.2913377042,45468.5511702752,39419.7785678093,49812.5713121484,44016.8045569712,36847.7671054187,54798.8775550762,43881.1541003714,37658.1967406285,46068.9751542599,40590.2027681397,48538.5455327541,43381.0869895522
"Gly_2.2",12565.004323004,0,15262.6285066223,17537.7216092582,0,18113.2501156425,18596.427131037,16788.6571153908,16805.0782055006,0,17777.3245694741,14222.2258718286,18199.4715981464,15377.6356503057,0,0,14147.9575144618,16528.9928465695,0,0,18772.0318791682,55407.7026834597,18098.4499456215,0,16110.0114765236,19538.1500299358,22561.9071256914,17012.2456751168,15082.4009887232,0,13463.2026265008,15607.6571324277,12819.7852029341,22171.5055633418,20431.728598608,0,0,19121.1355992174,0,0,0,16240.842773426,0,0,0,14193.310992597,0,14715.0428955955,15435.1857054939,17113.1216874283,0
"Ala_0.0",0,213417.079097162,0,0,0,0,0,0,0,0,124994.707509941,357666.566476505,0,0,0,391311.650315697,0,93956.1208444364,0,0,0,843368.43529239,0,0,0,0,0,0,0,49748.8729575714,0,0,90455.5436348966,0,0,292780.023352063,0,0,413132.448872701,0,0,0,253031.759058602,220328.851327153,152916.582798944,13119.7160795877,0,63936.1127373616,0,0,68992.096972606
