"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Gln_0.0",0.56174513,0.58488055,0.34558414,0.45979331,0.30312066,0.15311382,0.44515828,0.32564472,0.51786584,0.5330563,0.52535012,0.25105942,0.28327221,0.55660792,-77.04981745,0.18310959,-0.38559402,0.11184205,-0.70939905,0.24696092,0.4726424,-0.29034277,0.3885437,0.47553938,0.29922596,0.24451152
"Gln_1.1",13.27612575,13.82290187,8.167438,10.8666253,7.16386802,3.6186489,10.52074512,7.69619532,12.23909501,12.59810197,12.41597642,5.93346752,6.6947754,13.15471434,814.68456868,4.32756042,-14.58166113,2.64324345,-26.53605185,5.83660461,11.17029703,-19.0318278,9.18273197,11.23876352,7.07182195,5.77871617
"Gln_2.2",-169.27243203,-176.2439029,-104.13595949,-138.55096937,-91.34030411,-46.13827196,-134.14094951,-98.12755051,-156.05014725,-160.62753544,-158.30540963,-75.65252819,-85.35930859,-167.72441991,91.65824676,-55.17699144,176.54032245,-33.70171813,321.58375118,-74.41751279,-142.42282581,170.16333556,-117.08109751,-143.29578304,-90.16670399,-73.67942716
"Gln_3.3",-2521.28282349,-2625.12164444,-1551.08662897,-2063.69209132,-1360.49761376,-687.22136973,-1998.00562837,-1461.59244385,-2324.33923913,-2392.5186235,-2357.9309719,-1126.83097647,-1271.41174729,-2498.2254578,395.03431747,-821.85149168,-552.15264229,-501.98110836,-894.49732681,-1108.43564138,-2121.36270559,350.80444202,-1743.90216148,-2134.36524849,-1343.01704823,-1097.44198691
"Gln_4.4",41925.39088058,43652.08457649,25792.39131886,34316.29993255,22623.16377892,11427.52581306,33224.02634497,24304.22876221,38650.49578399,39784.22315214,39209.07910261,18737.61590916,21141.7909877,41541.97928533,3377.31820712,13666.23558183,9074.32263431,8347.24053423,14682.70939455,18431.72733258,35275.28121894,3284.25641956,28998.6427133,35491.49523846,22332.48653486,18248.91830512
"Gln_5.5",-2112.37127267,-2199.36910581,-1299.52530748,-1728.99440266,-1139.84676731,-575.76510888,-1673.96122826,-1224.5456408,-1947.36877233,-2004.49055637,-1975.51246594,-944.077103,-1065.20919656,-2093.0534411,-170.7734381,-688.56038888,-457.19681096,-420.56784064,-739.7666459,-928.66519561,-1777.3117702,-166.03461006,-1461.06925964,-1788.20550963,-1125.20126856,-919.4545352
