"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Glu_2.2",20228.29144981,59213.78601538,24716.20368264,13323.42572,2470.81886627,18058.17879915,18334.43283203,10182.6553189,12443.97610633,12827.13365276,22744.25248768,50488.23144516,11314.00420321,22542.4348081,10916.79938641,46855.23111259,17441.89399911,29953.85294165,6374.57233509,8844.54414037,12209.6781627,13969.07446129,24667.11009304,18348.93069789,14961.79961396,15799.87059048,9058.14340045,28520.06634978,12739.64300786,19571.13239695,18369.39150759,13126.3586006,19274.73232962,12834.10870081,9465.32346816,29855.78109884,16058.11967112,10514.55682652,54871.22700188,18912.38098694,11656.62196062,6643.90563475,52342.59769334,33455.76171849,39304.40271841,19289.47326257,9948.56837696,27588.4474353,22510.66371382,24533.58142988,28452.04407605
"Glu_3.2",0,592829.58570854,646.0773945,3497.66016486,559.33293965,909.95834147,0,2171.6303221,1499.96933961,1753.81500232,174923.43611205,531263.81826773,0,28000.11512792,3017.68373708,502119.71747209,0,239452.34832694,876.25999704,46577.56768418,0,1490.32900385,928.55709643,0,0,564.05950003,0,0,14.09840761,162959.95454083,42525.16257573,3038.15644645,173688.87623246,0,145.79884827,365367.78958597,5059.63117589,0,520433.21971616,1370.42211986,23919.97303309,0,582289.17662685,407138.13407662,230133.99346921,48114.47708486,2339.33479354,200080.89243799,38609.80447573,793.86215233,200367.55966431
"Glu_3.3",608.05264287,14967.11628687,0,354.20709536,322.63287846,826.24618141,1183.37330683,0,1736.0981673,1147.08350202,4099.18094974,11529.86218405,280.68412961,490.86820733,1109.78028323,10106.60969582,1637.25116653,6743.53744026,1595.987287,3233.41206126,0,2327.9535274,0,891.63517988,880.50125401,0,1825.92876232,413.98056554,1195.05457857,5098.16094096,157.70498603,0,3280.63846814,93.33122841,553.64688872,7486.0200803,315.45426594,0,12890.99991632,0,1651.78456152,2498.57605804,17246.00058638,7731.07158248,5001.04718982,96.69448284,1046.47938514,3931.81232004,355.34383259,0,4869.77011086
"Glu_4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glu_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glu_5.4",53395.54567182,11748458.9658828,95446.51095611,1347543.94715526,43421.52904908,885446.96561212,44022.83027419,1055069.01293608,57518.85839113,1366171.08619371,8129281.09425625,12885111.2573058,104157.7874495,3575564.23177742,1245020.19872722,9422374.62983976,33079.24873541,8530930.07904064,23886.85031748,3849325.3887031,28314.25608267,0,43823.63143702,32245.27675039,37135.01190996,126051.95619193,97731.18944095,61205.19145521,55035.83819975,7244108.83945577,3789663.00474911,1259780.58855632,6061923.21731229,94340.24954981,36792.98575351,7962912.3538355,1368685.42806836,0,9900504.86317549,964703.97941171,4477199.0693121,21772.5712694,11128291.688408,8600809.25125986,9016491.39570704,3682413.12781864,53649.93054868,7773073.66424421,4163292.13944645,43567.47564381,8685930.98727753
"Pro_0.0",3057462.11820455,2371093.17872727,3171571.71063287,3685725.60832113,2520123.70125433,3558090.27726624,4194982.39948355,3400957.17003871,3693514.31729864,3569667.03497485,3776255.59263575,2596225.55905487,3454028.50813949,2632912.29686181,2395939.62428303,2094742.41186355,2567366.03321651,2981827.12694497,1993835.10400295,2731301.30433959,4108470.44188434,474250.48388494,3292268.7207123,3134446.97782375,3035979.70754364,4037463.05667117,4154654.05121583,3547509.49212135,2662695.09608739,1835684.91375065,2781859.79327642,2947634.70704951,2231739.53203821,4668880.56988394,4040983.78818463,2523708.58942001,2965177.66199761,2901602.62808427,2898722.51636939,3046524.83167503,2690360.1155094,3588009.64298457,2184718.78288722,1638414.23773322,3161983.67186522,2677590.81534005,2739873.03833692,2669274.4020218,3135825.74811397,3423111.45427936,2121024.76859905
"Pro_1.1",160297.71423741,162175.10184225,181039.76030525,188247.67850852,142229.95098329,190118.22099258,233998.67645648,167366.94367373,211434.27043001,160915.47033991,204409.63264706,179785.06663125,176699.46106992,138173.56484652,118327.65703377,127004.27929594,139422.30773872,161610.90419921,101620.65954392,149122.98744945,214610.33841373,24788.87484036,172764.55992847,167558.84626595,161151.03124414,190308.79478589,221418.24586452,183514.48973927,137836.02968754,103210.39544279,155080.6807383,145202.21095476,124665.51180678,242663.72565917,208710.73829802,155439.98579862,164017.52100212,147144.827989,188483.39562501,151608.90796513,146035.87069845,180597.32015852,132616.86890971,95048.00051571,164551.95766749,134571.39570068,139501.08841103,160126.08123904,161826.24652415,177770.92912386,121910.60837209
"Pro_2.2",3997.88655617,28661.86507341,6891.18479855,8464.86280782,5452.99071252,8906.86124761,9757.72466188,3341.91633042,6209.52545461,4808.44655409,20340.31239766,35797.15125221,4995.17219409,5281.55764495,4908.48974872,18562.85884621,5707.13067783,16728.54325194,5413.30736806,5560.88843225,17735.43159151,0,7531.63782582,8260.4103655,6650.57003112,9066.76900769,9109.55680315,5834.89475199,6725.37186431,11644.56434245,4962.28688087,5483.53807691,8791.45717598,4613.31973531,7349.3107475,33880.59184447,8536.75524166,4853.44954613,35966.91403796,7492.58011343,1633.19475585,9143.54429465,19019.76882758,16692.79711961,6782.32142329,6293.81688245,6698.58912831,14103.11569019,9377.64759747,11794.76311857,12556.74215941
"Pro_3.3",0,119748.52303935,0,0,0,0,0,0,0,0,51925.43843211,132225.59861715,0,0,0,58755.92353413,0,30074.42124285,0,0,0,0,0,0,0,0,0,0,0,32541.9915076,0,0,18148.04806518,0,0,111712.00936906,0,0,148479.79116554,0,0,0,82374.95245919,40737.80355463,27184.5043215,0,0,48158.7731494,0,0,38802.22097824
