"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Pro_3.3",0,106218.461854435,0,0,0,0,0,0,0,0,46058.5238246611,117285.786466697,0,0,0,52117.2509207589,0,26676.3938669052,0,0,0,0,0,0,0,0,0,0,0,28865.1600528009,0,0,16097.5492825939,0,0,99089.9720905166,0,0,131703.461836342,0,0,0,73067.6297583407,36134.9495014566,24113.0008288797,0,0,42717.4438472614,0,0,34418.0631563213
"Pro_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pro_5.5",0,364127.115239847,0,0,0,0,0,0,0,0,190733.509529923,429726.390866157,0,20975.0390448734,0,174489.912809074,0,101014.696116699,0,16638.5468944681,0,0,0,0,0,0,0,0,0,111672.084072422,13874.7499325367,0,57404.9639446512,0,0,341502.317184018,0,0,448762.336134372,0,22341.410048501,0,217727.556670466,123071.144388345,81571.5736580878,11252.6377717317,0,158045.389486019,25071.3437597642,0,117881.043816381
"Asp_0.0",24679734.3827825,28059815.8907814,26414385.7374076,24475617.05735,17684732.701099,23870419.1865075,26991599.3473492,20356909.8436307,25422195.843279,21633485.7140917,25974493.189428,22129876.8247267,27501206.0317113,23662444.7418731,20091289.3977742,21530704.2992367,24304047.9901323,26760061.3415699,18934578.99649,24010917.1755506,24181323.984299,235511.605013528,22530683.6456922,22709819.0630583,26538644.6128037,24865893.1537959,27308067.8748024,25288330.3210281,20482279.9783546,15723972.690846,21449572.3071454,24388206.7745727,19553983.3761563,24322671.7096513,23939228.3518188,21805315.240692,24773309.1464444,9181541.0519976,26160490.945536,22102010.3484527,25327991.7391468,21552866.4766785,25721150.5637697,17659610.1352865,24339299.6299123,21199051.9980302,19027034.2098325,24138788.5066573,21399886.3816215,23947339.9052209,18403981.5416797
"Asp_1.0",292924.353719944,357793.05922441,275802.14168601,346759.253993141,225765.183064631,315953.725988152,338239.702447782,256364.730277529,322954.203874662,297906.208243682,395413.732525484,302891.613800583,316806.75700347,348356.356825557,235088.050283809,299033.88105919,296991.857653936,347930.721969923,233304.973506999,366808.390256978,315626.034316416,3082.72109048973,257092.216710512,298939.539241418,410805.57260438,359122.950767965,429525.034518809,328545.562192397,272405.788711095,162090.61545823,306223.940067426,368217.814512946,248691.139623415,287967.730371851,320906.209945799,285179.465703265,343831.280849849,105567.808254578,290281.56180015,312892.328935083,286563.591917122,302836.897734706,367470.881165875,257915.234687773,342082.634607942,327167.799234662,328716.535830074,344770.778850433,235851.846437335,333117.442998992,218716.295062117
"Asp_1.1",861034.415800024,1123146.0621153,903355.704152803,853003.569216655,647123.492340522,921804.074354031,1113442.99667561,818534.291476988,967162.171738774,763401.053129406,1186722.74144338,877252.41172317,1067804.01430175,928236.112351416,800349.043936227,838989.696877603,839628.501728973,1117580.58002879,634610.509396878,975794.567351009,805629.760474942,8038.28721178428,881682.176962399,859787.950324842,1085298.77390221,983656.489740602,1170010.26967496,913818.612511464,809393.253834673,517577.718432062,812116.130771888,1079584.00228637,754563.16622101,855565.620857155,831277.263020037,822379.235731255,1057518.35175953,253267.405951616,1026218.85559445,981417.702989082,841180.911572046,767487.138428081,1074735.97726756,656590.126919008,1051150.05087722,892634.980306195,714578.262341338,977206.29937039,702969.387249949,1011354.81781092,703698.55441905
"Asp_2.1",14363.7275742421,123112.730243414,15833.1522837772,8003.12054532313,7811.97226587188,7931.95728952695,658.067806386651,7451.02824516733,7726.88269099947,7950.65549471644,54689.7162894699,121554.639671798,13135.7860050603,14069.2283480962,8346.7530235816,90765.1655823754,16645.1727129896,96169.5686158235,8688.65335533702,28902.5545962522,11700.5176673536,0,10824.6666081667,16573.9663409032,6515.64577699376,1227.90203536002,877.877719291434,12294.8199229214,5222.56893209602,60695.7811729121,17339.1094286581,0,53349.3509787134,11735.5658336834,8827.50601817242,98781.7270128857,122.359136808981,5564.44071909228,112596.1569266,4527.97383223435,22555.9721271294,14724.5306471251,136911.706194077,81898.4263055531,61190.6240738441,17817.9850417216,0,61300.7630553408,23807.4913971872,3599.32331737103,68193.0261069457
"Asp_2.2",22295.0007639537,147217.193109577,31078.9621433447,34211.5621722099,22013.915626284,7861.47399222122,30904.4531010912,25666.9890860044,25486.8169498741,29149.1622783656,74350.7148263716,135973.292951217,14658.0373079904,41265.6678028457,11355.9924607373,105905.888565835,23237.8268166805,94011.2789471734,15723.216653385,41935.7701377921,31505.5089809849,0,16244.962786242,38232.421223218,25101.5101416386,15447.8773351245,37727.5076555561,17897.5505246109,14956.6230259677,69190.6526260188,30682.7315084313,21065.7671598305,70186.9830076182,29674.2778832394,30111.2667800737,127248.96890415,24675.1111803824,6071.40908061172,132020.786826145,35633.3601555577,33555.2129021053,7429.14896450627,138122.324607886,99028.8566852183,87015.851967196,48135.7940468665,25706.6081255981,94177.1045542895,28259.7202987649,40090.8461936903,80524.5617083221
"Asp_3.2",347.777989088336,35256.3017631695,0,0,0,1043.41308105377,1518.9092373398,0,671.512629162871,1313.43745966122,18242.098702424,35291.3926451649,716.547481598436,4104.22112156214,393.384233092649,27447.8876694083,340.323788471777,21978.1651702836,1176.35837207787,6252.12211569261,342.519629974501,0,792.721224367033,0,192.780298535933,777.443204084512,10.1192198043247,0,386.11591052495,16290.178898441,4168.83063643595,0,11786.5167448077,0,499.475225359278,27591.5265030085,0,0,28482.4411072223,1349.10462197687,1273.90579151602,1050.50991806042,31629.1440531325,25252.8506929254,21012.9414168529,4254.49350552312,83.2965481914495,10446.9762187334,6830.23961800162,1381.30661485094,20518.6266928906
"Asp_3.3",1609.32945720222,34273.4153021207,133.874121642868,1613.03914767424,1037.61784288203,1590.06221646105,0,0,1811.15804059793,1000.26069465431,19913.1664677185,32101.3012810505,1885.2805346691,1914.00950503955,2991.19416324329,25851.2749195207,423.402457107909,21234.7892247932,0,7776.6543549383,1023.40703092704,0,2192.4310959408,0,1851.03435590307,980.18569981237,582.772088506527,2379.47286488736,0,15039.2008647306,5306.73234839532,1533.19457584959,16565.8332433279,2889.34227497194,1691.15002910577,21880.0337679134,4236.22014679821,2612.79689311009,30279.3634674637,0,3258.76327987379,6793.53383344698,30742.6010791822,23250.6003726385,17761.2520728858,4737.29040005874,676.81773035518,13527.8324946303,4922.82038273757,0,16702.7459884881
"Asp_4.3",0,810444.676320136,0,33358.2584529711,0,11100.8963621754,0,27180.7316114133,0,22874.2664536517,559627.734655558,936789.511043814,8593.81875897486,175879.982410202,10907.6390482019,699211.762642788,0,612856.742303685,0,242003.468620036,0,0,0,0,0,0,8966.71386507126,0,0,428952.158951471,200655.372156061,33001.5440667984,402776.299081004,8170.2684335031,8860.0253219878,750122.00689169,28868.4024055511,0,744359.640826101,10593.8879696497,122674.680045786,0,934128.386640155,583827.798655901,543736.119415228,212880.50349094,0,455995.673902333,205154.745532478,0,528783.609475254
