"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Glu_0.0",0.00292668,0,0.30357679,0,0.00062353,0,0.04009541,0,-0.00015613,0,0,0,0.00218317,0,0,0,0.02625697,0,0.00091784,0,0.31218832,0.00013446,0.03099567,0.08928201,0.13206889,0.4473417,0.0028275,0.01117462,0.00221853,0,0,0,0,0.75128054,0.00163895,0,0,0.83257801,0,0,0,0.03235529,0,0,0,0,-0.00089448,0,0,0.21155357,0
"Glu_1.0",0.31650918,0,0.37810703,0,0.23394344,0,-0.75263215,0,0.41441782,0,0,0,0.3507059,0,0,0,-0.34374626,0,0.27618545,0,-0.17258045,0.33167832,0.40785706,-2.23538381,-3.44262446,0.40013539,0.37249888,0.20754553,0.31026396,0,0,0,0,-21.63553572,0.28817098,0,0,-11.11089702,0,0,0,-0.61880023,0,0,0,0,0.3644148,0,0,0.39848017,0
"Glu_1.1",0.63166655,0,-1.71116037,0,0.40554484,0,1.37146303,0,0.66817266,0,0,0,0.65769333,0,0,0,1.11743931,0,0.48601201,0,-1.51948027,0.54396497,0.4731999,2.27027536,3.1692438,-2.78144076,0.71882862,0.98540395,0.59329013,0,0,0,0,-8.40296949,0.53424636,0,0,4.07822206,0,0,0,1.09554617,0,0,0,0,0.55738445,0,0,-0.93454847,0
"Glu_2.1",-2.4814648,0,-2.96439833,0,-1.83414083,0,-23.36421336,0,-3.24907865,0,0,0,-2.74957063,0,0,0,-15.78521177,0,-2.16532258,0,-10.68969586,-2.56695327,-3.19764166,-51.35566901,-75.84584608,-3.13710299,-2.92042986,-7.55898992,-2.43250166,0,0,0,0,261.24467918,-2.25929034,0,0,-216.26295354,0,0,0,-18.98325003,0,0,0,0,-2.85704982,0,0,-3.12412585,0
"Glu_2.2",-2.66421065,0,-47.91642041,0,-1.48828048,0,-11.32275057,0,-2.24261737,0,0,0,-2.62104702,0,0,0,-8.17016482,0,-1.81377381,0,-49.91342507,-1.87202974,-7.09375396,-22.49526618,-32.61949427,-69.72505646,-2.94280738,-5.23802969,-2.40848372,0,0,0,0,-2.43891575,-2.10528993,0,0,-156.72047143,0,0,0,-9.09579297,0,0,0,0,-1.73551012,0,0,-34.26781148,0
"Glu_3.2",-47.58807506,0,-56.8494907,0,-35.17407593,0,199.88903345,0,-62.30892289,0,0,0,-52.72965134,0,0,0,106.450632,0,-41.52528515,0,61.6374647,-49.98241512,-61.32249448,540.2308983,822.37119496,-60.16151937,-56.00628934,-13.62574774,-46.64908871,0,0,0,0,-46.40437709,-43.32734367,0,0,2569.61915016,0,0,0,163.67419107,0,0,0,0,-54.79082415,0,0,-59.91265133,0
"Glu_3.3",-101.75390273,0,439.0397689,0,-65.98692941,0,-106.69216109,0,-109.34033051,0,0,0,-106.399747,0,0,0,-107.98870877,0,-78.99040932,0,451.93886447,-88.87767936,-61.11880577,-97.18244649,-109.73002926,689.45853459,-116.05851607,-135.70294105,-95.85009737,0,0,0,0,-96.17319019,-86.49936689,0,0,770.61612219,0,0,0,-83.54723126,0,0,0,0,-91.61172004,0,0,263.78100374,0
"Glu_4.3",571.78198247,0,683.06008293,0,422.62484545,0,597.14947686,0,748.65645256,0,0,0,633.55923817,0,0,0,614.69297187,0,498.93612706,0,493.46685746,593.71750905,736.80428181,567.46910146,656.9628364,722.85489107,672.92881908,771.56680998,560.49983936,0,0,0,0,557.55957125,520.58828668,0,0,211.91649818,0,0,0,475.82875957,0,0,0,0,658.32471714,0,0,719.86468271,0
"Glu_4.4",988.12674345,0,1009.71414212,0,619.54292052,0,1037.05864494,0,1006.74860451,0,0,0,1018.61467995,0,0,0,1045.44291602,0,744.48986292,0,780.55454116,822.69807951,1081.1067021,934.96819688,1049.03170238,1095.53047272,1118.52280294,1314.10676441,921.81759029,0,0,0,0,926.90534187,825.83287005,0,0,379.60286239,0,0,0,808.71678848,0,0,0,0,830.77746375,0,0,1092.94753902,0
"Glu_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.47586662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.05471255,0,0,0,0,0,0,0,0,0,0,0,0,0
