"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Glu_3.3",-117.80423119,0,791.73866231,0,-78.8761955,0,-126.46277121,0,-131.59743121,0,0,0,-126.19552671,0,0,0,-129.34850851,0,-95.35602307,0,583.92784529,-107.96000009,290.61909555,-115.11001327,-129.76521887,841.00813587,-139.61383105,-161.18902857,-114.30467815,0,0,0,0,-115.98502631,-101.94784849,0,0,923.77888873,0,14.76859357,0,-101.00040123,0,0,0,0,-111.20801613,0,0,602.72437979,0
"Glu_4.3",596.04654511,0,715.46185088,0,431.6852017,0,625.5665258,0,791.11448727,0,0,0,670.75783357,0,0,0,664.10348862,0,535.53256485,0,514.45430019,636.20612099,765.5039885,592.5305606,679.47126651,762.27455819,725.60044467,835.3109564,593.87950962,0,0,0,0,639.8849735,531.75962665,0,0,233.90910455,0,0,0,509.85171065,0,0,0,0,718.01768136,0,0,746.70361854,0
"Glu_4.4",967.79795487,0,1040.78655469,0,632.41193995,0,1045.75950691,0,1021.24027427,0,0,0,1021.32012778,0,0,0,1058.02723309,0,758.01802262,0,792.07988671,841.45667556,1112.10174835,940.8296314,1055.11376474,1108.92991702,1137.79201142,1314.77705554,931.6215043,0,0,0,0,927.50253888,829.91462201,0,0,392.91085301,0,0,0,830.31019665,0,0,0,0,839.36582923,0,0,1122.77424174,0
"Glu_5.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.97431459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2430513,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pro_0.0",-623.19745734,0.0757219,0.95521019,-1206.29076687,0.75476725,-385.06756515,1.26939323,-1725.93178255,1.06272279,-3171.79890429,-144.67600058,0.08391758,-1109.50904963,-520.18420629,-1160.37564835,0.03768769,-71.35948986,-94.34773342,-670.83506702,-2.8587188,-886.50905732,-135.63897301,-649.78795231,-331.29593428,-429.53647011,-2796.75734664,-505.48125022,-949.68303037,-699.72194387,0.02118888,0.79936106,-1463.10244112,0.01231987,-1166.49298303,-1111.19978913,0.07112219,0.94026133,-1050.81793611,0.09386683,-1366.35552757,-105.5477875,-1419.2575416,0.05211826,0.02640732,-753.25519765,-1078.80117309,-936.52146233,0.03117063,-867.82423195,-840.60711806,0.02513712
"Pro_1.1",6001.15703667,2.80056763,-5.91355963,11626.36437011,-4.67260038,3713.85067536,-7.85739959,16469.03496882,-6.58185539,30446.79114292,1395.54913847,3.10368426,10693.34925605,5014.59434488,11182.58631435,1.39387586,690.17353232,909.98880355,6465.60713373,30.28941269,8546.5296294,797.97887616,6264.07252837,3195.35844925,4141.66505093,26950.79158841,4874.53229457,9153.58931012,6744.59849068,0.78366896,-4.95031029,14099.84816672,0.45564919,11081.97877402,10710.34311959,2.63044759,-5.81767023,10127.40379111,3.47165628,13167.97205788,858.78357807,13678.27900252,1.92758915,0.97667238,7258.46237037,10396.98234719,9026.21235894,1.15284278,8364.89966655,8103.1314773,0.92969425
"Pro_2.2",-119.97270751,-25.83877873,-207.11616883,-235.10118793,-163.65469487,-234.00915763,-275.24329782,1341.89969466,-230.42014794,892.70109346,-11.6649246,-28.635413,-202.5104587,-164.47152099,-147.97025849,-12.86026785,-165.15247651,-6.93128165,-132.19763948,-172.8749014,-314.09952547,4770.54745106,-211.23658624,-208.69332156,-193.55899375,-251.41056702,-265.20341703,-212.90683487,-174.12591731,-7.23033734,-173.31964728,-178.54546593,-4.20394012,1249.34484897,-246.70358199,-24.26920616,-203.88442772,-173.72955986,-32.03042034,-196.12628505,1356.58287477,-233.5561571,-17.78444802,-9.01103806,-6.12755951,-171.03339542,-177.10814632,-10.63643285,-213.85843673,-243.21392617,-8.57760541
"Pro_3.3",2155.87819272,-565.07665442,2503.59791759,2841.82801076,1978.22748957,2828.17606772,3326.78445347,2397.20878627,2786.01827912,2514.97175635,-255.10402938,-626.23715867,2449.0331851,1988.34642765,1788.92944763,-281.24537943,1996.2244341,-151.58245228,1597.63840608,2089.79179442,3793.37338316,334.38822597,2553.28276314,2522.05556165,2339.68830804,3039.3593123,3205.68604413,2574.4156064,2104.50256315,-158.12259841,2095.48640299,2158.81055112,-91.93733362,3291.94090484,2982.78994129,-530.75116135,2463.63657603,2100.72089557,-700.48367814,2370.59379798,1897.40412747,2822.84791192,-388.93387681,-197.06532155,-134.00559138,2067.42444546,2140.67519837,-232.61160882,2584.21789629,2938.28629509,-187.58644204
"Pro_4.4",125.00372252,7920.79244836,156.1436641,177.68943986,123.49348557,180.913357,210.43461837,138.99673133,167.22040325,145.82495089,3575.84418615,8778.091465,142.73776807,122.28438171,109.03743278,3942.27271658,125.59215176,2124.76154151,102.82224174,129.84401781,267.51997427,19.38874522,160.34776103,162.77238235,146.21064553,186.53219779,200.51320158,153.15533298,134.07664305,2216.43607746,127.3115831,129.4775792,1288.70398764,190.87575022,180.04267476,7439.6451489,161.74187418,124.73111827,9818.8197735,149.29012682,110.01668826,179.24846657,5451.76391606,2762.30401411,1878.38316796,129.41879045,135.21570744,3260.56343004,169.64789891,198.21305185,2629.43666475
"Pro_5.5",5.9510979,0,7.78803986,8.84721808,6.15775511,9.12132618,10.56059049,6.61726818,8.16203353,6.94234172,0,0,6.81748209,0,5.35051002,0,6.27487413,0,5.20110838,0,14.16492316,0.92304708,8.00327088,8.2459284,7.27760005,9.18977433,9.98565478,7.40798763,6.74507377,0,0,6.29337398,0,9.08709159,8.78441222,0,8.27437455,6.02600428,0,7.46288257,0,9.00133226,0,0,0,0,6.77051346,0,0,10.27281298,0
"Asp_0.0",-0.03847837,-1e-08,-446.01688631,19.74454739,1.88267185,11.854497,66.6673827,13.66735867,21.81505325,12.01900053,0,0,-1e-08,0,4.48616992,0,-0.03092195,-1e-08,1.23328716,-1e-08,-0.03247476,-0.62709889,-0.03801597,1.25169009,47.69087406,63.13894754,83.29158556,-0.00821257,26.7754038,-336.01855996,-1e-08,83.88270886,0,0.10488606,11.07622921,0,70.67296075,-5113.89995021,-1e-08,45.3307362,0,-3.08980687,0,0,0,-1e-08,65.68531761,0,0,51.24344821,-1e-08
"Asp_1.0",0.85612363,0,9925.51864754,-439.30591574,-41.88847004,-439.98708564,-1459.34581077,-295.23259517,-485.37359477,-267.41651381,0,0,0,0,-99.81494876,0,0.68799734,0,0.67800371,0,0.72254641,-151.35848682,0.84583534,-5.05656752,-1061.09715677,-1404.80876112,-1853.19448126,0.18272534,-590.4722631,7476.23828588,0,-1866.34666758,0,-2.33366038,-246.44034227,0,-1572.43663879,-0.40914989,0,-960.82356531,0,0.96890328,0,0,0,0,-1461.46417144,0,0,-1103.26138565,0
"Asp_1.1",0.28120702,0,10.74712833,-169.83791738,-11.1808983,-545.82777888,-574.40104785,-110.3399205,-189.08891594,-104.1103528,0,0,0,0,-38.85986464,0,0.59034595,0,-7.0059813,0,0.50366838,-417.85670788,0.21595871,7.00468847,-408.22610191,-544.54500149,-713.24063808,1.78326484,-230.03908687,0,0,-718.94764031,0,4.95958705,-95.94392886,0,-608.26838488,44208.87904793,0,-386.26148432,0,-143.79644497,0,0,0,0,-562.43265851,0,0,-439.06034973,0
"Asp_2.1",-6.25671006,0,-249.76816035,3778.80537447,248.76917493,3811.23294058,12643.96425824,2404.68003899,4207.13008529,2316.40122986,0,0,0,0,864.61178772,0,-13.13489049,0,-3.85156146,0,-11.20635969,1291.205888,-4.80496902,-285.33109442,9082.81855858,12115.84321141,15869.23343219,-39.67671557,5088.33219361,0,0,15996.21126517,0,-110.34823362,2134.70254244,0,13533.65536626,-37.73317846,0,8322.7952403,0,-5.50408574,0,0,0,0,12513.83428159,0,0,9559.36631579,0
"Asp_2.2",5.78568839,0,-112.04840204,-9.63085324,-37.53240264,3579.62032244,-164.70924463,-118.87600611,6.61220465,0,0,0,0,0,0,0,2.63677224,0,-196.52682148,0,3.41174349,3397.58939456,6.05792064,-277.43097325,-33.15047592,-13.70292131,-66.58817308,-8.2842507,-42.98267423,0,0,-61.84968828,0,-47.40160842,0,0,-31.59401832,716.7990884,0,-342.0723644,0,1383.64851845,0,0,0,0,-48.34485743,0,0,-257.51229482,0
"Asp_3.2",-128.72855907,0,2194.2684761,214.28147822,835.07644811,0,-154.7817683,1233.22471711,-147.11811615,0,0,0,0,0,0,0,-58.66681155,0,-108.04127192,0,-75.90951915,159.59901369,-134.78558508,2540.60204887,737.58085664,304.88287594,1481.55223643,184.32027156,117.10621897,0,0,1376.12341282,0,1054.66114645,0,0,702.95048414,286.47389251,0,0,0,-154.39671197,0,0,0,0,1075.64794653,0,0,-147.18110595,0
"Asp_3.3",-67.3678733,0,74.19429613,0,-48.76241426,0,1755.71203949,676.33097839,-70.48254839,0,0,0,0,0,0,0,-65.82308883,0,2094.87031124,0,-65.39808507,271.9517084,-64.5741787,1673.4599565,-78.65088893,-68.72199712,0,-69.64241885,347.68718035,0,0,0,0,0,0,0,0,-26.50142771,0,3646.30758832,0,-73.96963751,0,0,0,0,-56.63550758,0,0,2744.94268581,0
"Asp_4.3",1498.90016086,0,1533.73231904,0,1084.93836914,0,1649.89047648,0,1568.2000627,0,0,0,0,0,0,0,1464.52950953,0,1151.66190159,0,1455.07339688,12.7719024,1436.74190845,1482.54433321,1749.94139339,1529.02871194,0,1549.50761718,1209.94511124,0,0,0,0,0,0,0,0,589.64299025,0,0,0,1645.78598289,0,0,0,0,1260.11060265,0,0,1568.87150008,0
