"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Ser_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asn_0.0",7951757.99370636,6475077.39848813,8234331.4358203,6902571.92049587,5166972.48884719,7703435.20204827,8540173.9037733,6306693.33798387,8377861.87616786,8458944.75428573,8395260.21154095,5723775.2819547,8384943.89352126,7042464.99415005,5969867.44709541,4732452.73709763,8451130.5406794,8350555.79637094,4992595.53320197,8388981.60189132,8326672.53202977,0,7989853.67122126,6787295.18143438,8985393.29789043,9124469.17533339,8999046.91566245,8819312.18217213,7134913.33346039,4423456.92860667,6162081.39580995,8617827.31103946,4983344.78344363,8421484.39008036,7707102.86054644,5557303.22778352,7741531.85941911,10941398.2421701,6627728.77312648,6385390.55178301,7874112.48894956,7099333.04976573,6796439.51062221,3859127.12848778,7058933.05828379,5930821.19514923,5526854.77247665,6921242.39404627,6848644.45117469,8146465.45992913,5112770.29878174
"Asn_1.1",376140.63230347,281669.79005987,404457.40926915,338882.44354319,225264.44128882,348678.61397182,411090.34479022,286439.54816855,379607.84326154,344952.17277721,364116.72524773,271717.10169368,424815.43039596,319489.02742268,277269.99492482,218079.9065518,428764.01882077,405931.38390549,219528.76432901,402517.22450674,377725.20509902,0,411247.92701021,290053.82492346,414488.1577677,418368.24258605,449111.7771626,428650.84286584,353147.55649762,175726.70722589,272564.27999937,391219.56628596,231439.71024765,390567.33306485,388692.07016963,237403.97713983,409109.32306699,542948.2112902,294770.27172546,300642.57845326,374493.5578454,312804.80154759,301597.40613496,172961.51065259,326075.3162582,261748.01841457,241942.37709476,306437.33016601,356184.59271133,348302.40389736,227739.01406967
"Asn_2.2",4861.11980104,14577.17590203,6480.75951105,5153.97934649,7827.74442593,6647.47608527,11088.17311511,11716.80331613,7216.22907107,3523.88958379,8124.68338473,12677.3722494,7383.48964775,4803.43881492,4408.50467928,13992.55424226,7213.02610726,7162.14001585,7230.04384054,2353.44267494,6132.04370199,0,5295.27749295,9513.4399895,6825.78372569,6650.08916079,9447.76194238,5133.82550452,5622.14278054,6205.56309306,8944.87624106,8255.52963317,11140.07044129,7487.99401859,7216.05481467,9339.82543341,4735.26661452,11893.5687287,10310.78333032,8425.72638286,9711.90082795,11348.54257527,13314.65397342,8882.13324707,9897.69796803,9162.72197784,6896.56043913,9377.35143019,2663.11591766,9068.18772645,5246.22278154
"Asn_3.3",19995.78619117,25726.84237557,21242.18061777,27175.06198516,22596.30038121,24078.90629331,23735.42921893,24937.99434846,16810.6220327,14470.68658293,20554.06371277,19366.78520015,27374.82578412,26540.71079974,28362.38319884,23664.31415946,24260.34419566,21480.09641395,37493.84336856,15324.18777937,27085.33659942,0,16292.4714825,26303.77936618,27993.64300598,20631.73889371,26931.943626,20713.52562171,21158.56005585,21587.89462164,23838.41809135,20562.86187229,27717.28735605,18542.05210203,25204.54038623,22097.92744945,16824.12659575,27518.05354434,20724.15417627,25190.59589344,20331.43917627,30021.88479305,23337.51211869,20560.73287551,19474.79270558,28140.63447452,12810.8642329,24898.44176513,15446.04262253,18816.13180376,22489.0256916
"Asn_4.4",30252.72002218,56800.23480727,36869.78787522,27938.2030343,20749.47583448,29840.91457123,38752.75282306,24350.05822324,35391.52501013,30352.0004529,44539.39226262,39312.52575716,34558.53393446,32247.41621891,24584.10195761,42895.07512907,33211.91131971,46211.24106912,22087.62456947,37453.63516739,32935.41872274,0,33911.00618306,27030.6131213,37379.8681236,34177.67263118,34989.9732867,35369.05305295,28186.06886759,19221.42848161,23710.77948864,31359.41762072,24592.81173709,36884.9194005,68806.86271547,46173.89844904,39864.50556157,42400.42681596,57919.22863464,24086.75715282,32713.4246695,27370.47002281,51912.2060517,30711.29811632,35086.37071102,21303.82494362,25111.64902082,33832.83564903,27287.26498666,33810.37235839,22923.08462733
"Gly_0.0",613298.83305017,632735.28220459,604382.62975035,785451.80554059,483074.81324926,700744.38519549,882689.74399535,706122.92449215,809039.64934575,653138.02883854,913393.59061931,840171.82654679,684979.08171654,502758.56288299,444090.10067616,671432.4060507,483122.85379059,758308.38714311,397667.3147325,537196.94094364,841602.17235445,2192516.58993297,665711.80227378,631127.52387907,628064.76589465,796922.1169269,905695.84746412,682547.013486,517463.04544667,489543.31569201,603197.69048572,619265.78302699,558338.03281651,997776.02913763,796638.36282024,771144.88577946,556430.82077431,698907.89503136,893383.61643722,648992.4199755,559035.49061796,722255.08802817,637582.712961,535723.86514248,773816.40376235,600073.95586827,519873.4441336,613245.1925432,585594.65676022,677592.27292144,615389.07519436
"Gly_1.1",15187.17808646,22288.68655565,18761.1676249,22659.15787767,14270.09747178,20063.8382255,24773.98560932,25546.79615617,17890.14710202,17285.25606023,28002.75783374,23323.47955675,16975.74642223,13764.82387606,14677.22281169,20047.29590866,12985.06567199,20540.81092098,11115.70658472,15661.74274068,23308.75158775,60245.83754017,16049.00827669,17685.59614771,16145.90934424,21672.84080508,22432.07421988,16698.67617236,13928.95039296,13586.38277379,15649.04648322,22326.94179261,14168.19336222,27054.8879183,23508.57284926,21702.83001742,13886.54091253,18887.71795233,25884.96871181,17556.76732042,15400.28428718,18976.19622035,16535.45326189,13744.11924249,21572.74099389,18498.39702179,15413.71877983,20245.47634039,15607.76549289,19780.70252924,16939.1611187
"Gly_2.2",8634.33219605,0,11475.95792815,12483.07508734,0,13845.64946341,12844.29271363,12086.74773531,11747.33247263,0,11569.20304242,8429.23331501,14204.66402681,12573.21979107,0,0,11405.20728318,11676.51607295,0,0,13401.97750075,42059.40231087,14277.18661025,0,12363.66590223,14640.34311119,17137.80901751,12935.60469161,12136.90141266,0,9667.23843812,11571.95019989,9355.7492529,15825.48649507,15530.46512624,0,0,15020.35562907,0,0,0,11695.33655654,0,0,0,10348.70166585,0,10739.97841083,11954.30197561,12929.64046448,0
"Ala_0.0",0,233751.25160922,0,0,0,0,0,0,0,0,136904.15183805,391745.43773246,0,0,0,428596.12398689,0,102908.2338633,0,0,0,923725.71746789,0,0,0,0,0,0,0,54357.17965618,0,0,99074.16534392,0,0,320676.39053217,0,0,452495.82663083,0,0,0,277140.8045336,241321.88671562,167486.69053799,14318.33549693,0,70027.90917456,0,0,75295.22854145
