"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Ser_3.3",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,-Inf,Inf,Inf,Inf,-Inf,Inf,-Inf
"Asn_0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asn_1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asn_2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asn_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asn_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gly_0.0",0,-3.817e-05,0,0,-3.696e-05,0,0,0,0,-3.631e-05,0,0,0,0,-3.771e-05,-3.703e-05,0,0,-3.663e-05,-3.688e-05,0,0,0,-3.664e-05,0,0,0,0,0,-3.658e-05,0,0,0,0,0,-3.667e-05,-3.599e-05,0,-3.684e-05,-3.644e-05,-3.654e-05,0,-3.62e-05,-3.614e-05,-3.661e-05,0,-3.699e-05,0,0,0,-3.654e-05
"Gly_1.1",0,-0.01132678,0,0,-0.01308058,0,0,0,0,-0.01434315,0,0,0,0,-0.01192664,-0.01296509,0,0,-0.01369782,-0.01322428,0,0,0,-0.01366915,0,0,0,0,0,-0.01378019,0,0,0,0,0,-0.01361973,-0.01507624,0,-0.01329286,-0.01407981,-0.01386635,0,-0.01459116,-0.01472593,-0.01372826,0,-0.01304069,0,0,0,-0.01387567
"Gly_2.2",0,Inf,0,0,Inf,0,0,0,0,Inf,0,0,0,0,Inf,Inf,0,0,Inf,Inf,0,0,0,Inf,0,0,0,0,0,Inf,0,0,0,0,0,Inf,Inf,0,Inf,Inf,Inf,0,Inf,Inf,Inf,0,Inf,0,0,0,Inf
"Ala_0.0",NA,-1.204e-05,NA,NA,NA,NA,NA,NA,NA,NA,-1.158e-05,-1.03e-05,NA,NA,NA,-1.06e-05,NA,-1.147e-05,NA,NA,NA,-1.011e-05,NA,NA,NA,NA,NA,NA,NA,-0.00222444,NA,NA,-1.108e-05,NA,NA,-1.042e-05,NA,NA,-1.1e-05,NA,NA,NA,-1.065e-05,-1.085e-05,-1.006e-05,-0.00329049,NA,-1.171e-05,NA,NA,-0.00329046
"Ala_1.0",NA,-0.01191606,NA,NA,NA,NA,NA,NA,NA,NA,-0.01208058,-0.0080395,NA,NA,NA,-0.00962873,NA,-0.00899749,NA,NA,NA,-0.01015993,NA,NA,NA,NA,NA,NA,NA,-0.00348116,NA,NA,-0.00984244,NA,NA,-0.00862869,NA,NA,-0.01418813,NA,NA,NA,-0.00867178,-0.01280101,-0.00876926,Inf,NA,-0.00716243,NA,NA,-Inf
"Ala_1.1",NA,-0.00917076,NA,NA,NA,NA,NA,NA,NA,NA,-0.01031884,-0.01319525,NA,NA,NA,-0.0132322,NA,-0.00952076,NA,NA,NA,-0.01799293,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,-0.0111158,NA,NA,-0.01326912,NA,NA,-0.01330409,NA,NA,NA,-0.01207209,-0.01368617,-0.01654018,Inf,NA,-0.00807687,NA,NA,Inf
"Ala_2.1",NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,Inf,NA,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,-Inf,NA,NA,Inf,NA,NA,Inf,NA,NA,Inf,NA,NA,NA,Inf,Inf,Inf,-Inf,NA,Inf,NA,NA,-Inf
"Ala_2.2",NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,Inf,NA,Inf,NA,NA,NA,-Inf,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,Inf,NA,NA,Inf,NA,NA,Inf,NA,NA,NA,Inf,Inf,Inf,-Inf,NA,Inf,NA,NA,-Inf
"Ala_3.2",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,Inf,NA,0,NA,NA,0
"Orn_0.0",2.5e-07,0,3.3e-07,2.4e-07,3.4e-07,2.1e-07,4.1e-07,2.8e-07,3e-07,5e-08,0,0,2.7e-07,0,2.6e-07,0,1.8e-07,0,3.1e-07,0,2.3e-07,2.7e-07,8e-08,2.9e-07,1.9e-07,1e-07,3.3e-07,6e-08,0,0,0,2.2e-07,0,3.3e-07,2.6e-07,0,3.2e-07,2.1e-07,0,2.8e-07,0,2.1e-07,0,0,0,0,2.4e-07,0,0,2.7e-07,0
