"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Gln_0.0",27014.3495456,24448.10580193,71684.83832483,37706.9837931,15374.35127082,19790.13528891,38730.66691258,60206.55381628,25132.12425226,43883.85537995,27112.57991222,53917.76610495,18360.55691853,24470.5645862,21479.17982335,34373.51226779,42534.13019694,58660.7859376,43315.93939292,48159.2360801,41902.80509309,15411.47852663,31533.75984267,11493.57530708,9729.46649723,21283.22842394
"Gln_1.1",4315.27731941,3570.49253545,3964.63706427,3278.25383174,2276.10072653,2530.95366894,2542.16578116,4569.82250377,5760.90009178,9699.82335051,3746.55480857,4051.54840662,2431.17521522,4825.27579313,2947.06073885,3109.05666656,3849.62708656,4221.77601268,3623.9354789,10719.20591595,3908.50103788,1207.80523706,1904.84321835,1181.88774856,0,3768.88909287
"Gln_2.2",2722.57957546,2847.36085152,1468.46141892,1826.22992481,1670.39288323,1616.23046517,1267.18615204,1223.9691186,3259.01123601,5415.18989657,1721.40684254,2252.07202528,1876.2978851,2727.91607358,1973.42017273,1835.74840751,2322.66424599,1829.00792958,2194.85127678,5624.71050769,2222.64916101,0,0,0,0,1726.87868687
"Gln_3.3",7109.12552431,9315.56447844,5408.85733009,8427.81561071,5134.34364764,5733.45319503,5108.30631933,7139.92386045,9035.2790369,19881.43881036,7613.16807787,11763.07355585,7192.97098897,9057.95413755,9606.52749981,9123.7873311,11282.32289605,8403.63967636,11880.24241517,18735.72559251,10998.4237478,0,2673.69395979,2307.17859777,0,5768.67090582
"Gln_4.4",46733.93858421,93126.77330992,103275.01676588,125053.59780116,58872.08991609,57234.27559055,89532.58248957,124495.6225555,58354.46626632,143245.85669379,79714.29623062,168089.76893947,80048.19031979,57005.92356368,102205.2266785,126382.3343734,153831.3829648,154376.032092,164142.78430736,108603.03676288,151199.06598404,14861.10599635,50277.92614042,31421.90330473,17524.44056664,35979.00425352
"Gln_5.5",1174285.60298421,2408562.26624343,2681834.62793517,3250127.93885079,1565737.23182454,1543795.93060163,2236775.03446176,3218510.72306923,1452936.09215965,3679915.05439409,2067431.0590611,4239151.56999553,2080625.48331573,1531121.85072162,2555501.78799403,3280910.2988309,3905559.96904354,3977377.80598563,4207370.33868145,2874716.30010149,3866199.97043135,365970.12210225,1318035.47651643,821207.06247543,420702.6098577,893999.9528845
