"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Gln_0.0",5.38e-06,1.341e-05,5.14e-06,1.188e-05,1.508e-05,1.203e-05,6.93e-06,7.24e-06,6.92e-06,1.12e-05,1.047e-05,9.78e-06,1.566e-05,9.58e-06,1.438e-05,1.311e-05,1.171e-05,9.08e-06,1.28e-05,8.77e-06,1.206e-05,-1.786e-05,-2.132e-05,-3.181e-05,-0.00755873,4.99e-06
"Gln_1.1",0.0012214,0.00350961,0.11851824,0.00867466,0.00385466,0.00390933,0.01464665,0.00787871,0.00094361,0.00160152,0.00296766,0.01120895,0.00480612,0.00159919,0.00414544,0.00864914,0.00772453,0.01217106,0.01039837,0.00124254,0.00737675,-0.05022864,-0.13886486,-0.02519693,Inf,0.00096735
"Gln_2.2",-0.01862369,-0.0407002,-0.09244895,-0.092917,-0.049129,-0.05344589,-0.07768234,-0.1523916,-0.01893678,-0.03342561,-0.06341003,-0.08991616,-0.05544035,-0.03121803,-0.05914354,-0.0940065,-0.08121539,-0.1115323,-0.09783439,-0.02747832,-0.08697005,Inf,Inf,Inf,Inf,-0.02262555
"Gln_3.3",-0.12860538,-0.29046027,-2.30802772,-0.73729229,-0.45648154,-0.3722775,-0.86569784,-1.25653613,-0.11909827,-0.16451836,-0.32037336,-0.51205665,-0.36681805,-0.16981617,-0.26000331,-0.59922654,-0.4821657,-1.5667461,-0.53664534,-0.14113699,-0.5204422,Inf,-2.49123079,-0.6113354,-Inf,-0.1120431
"Gln_4.4",Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,-Inf,Inf
"Gln_5.5",-0.00046673,-0.00051364,-0.00051865,-0.0005206,-0.00055909,-0.00058225,-0.00045331,-0.00051141,-0.0004511,-0.00050377,-0.00051813,-0.00047,-0.00052155,-0.00057748,-0.00045612,-0.00051887,-0.0004815,-0.00050559,-0.00049763,-0.00055439,-0.00049355,-0.00043183,-0.00053434,-0.00053003,-0.00038634,-0.00044779
