"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Gln_0.0",28507.19389364,25799.13653858,75646.22579238,39790.71553509,16223.95578789,20883.7611622,40870.96857334,63533.63794349,26520.95464334,46308.92822369,28610.85258447,56897.32451532,19375.18262983,25822.83642138,22666.14426038,36273.03249962,44884.61565862,61902.44913557,45709.62853927,50820.57142956,44218.4027959,16263.5073199,33277.10397612,12129.00246808,10193.98455323,22459.36435893
"Gln_1.1",2979.88461858,2347.23281476,91.88855126,1293.59493762,1508.19893952,1524.95814454,467.34765536,1371.70736434,4595.33503277,7648.79563921,2380.60971427,1185.68759215,1501.5013969,3655.92078244,1864.00389148,1305.15423788,1617.56774221,1095.62591633,1337.81431532,8471.62740959,1714.67276153,381.07243724,191.50982481,576.19517266,0,2733.03065416
"Gln_2.2",2651.7015769,2810.75355477,1426.08586385,1785.20689887,1642.05502933,1580.06381185,1241.95343332,1132.66582184,3138.8606363,5212.41727683,1643.22127608,2210.04943825,1851.39240488,2631.35208196,1932.41731556,1798.57023924,2278.22592068,1771.23337081,2157.24965347,5388.42745612,2171.5370542,0,0,0,0,1640.83181622
"Gln_3.3",7176.22204186,9426.00979383,5479.72434368,8552.42620695,5192.0628357,5806.12339998,5178.71556332,7257.12687368,9127.5431909,20140.68885859,7724.00934662,11946.44791498,7288.70837034,9167.65633761,9751.86572906,9263.14041351,11452.90369996,8528.03814868,12067.89243905,18963.78773711,11166.19635779,0,2729.63245523,2355.38620713,0,5839.30721283
"Gln_4.4",47084.90172172,93931.31193668,104274.24984755,126222.49944537,59397.15182548,57728.50334681,90389.68645888,125686.43085095,58789.18049389,144362.32332406,80410.59261944,169651.35951445,80757.34688351,57425.37286249,103101.28633324,127550.39357655,155249.29582967,155862.60341037,165659.10459572,109369.93696086,152594.68017404,15021.59088252,50763.06409293,31711.14783208,17713.77134568,36242.60373926
"Gln_5.5",1173780.96956844,2407556.11847865,2680718.26409839,3248776.3766156,1565101.08578608,1543177.56885901,2235807.27024982,3217165.04578966,1452305.99895188,3678368.06503691,2066569.77927608,4237334.92980166,2079760.54287872,1530506.34629384,2554397.48528556,3279544.44675364,3903897.48738871,3975709.09737802,4205596.40181038,2873543.86378567,3864565.92612127,365809.38942954,1317492.00868913,820867.49160232,420513.06855071,893611.48638005
