"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Gln_0.0",61902.44913557,45709.62853927,25799.13653858,63533.63794349,19375.18262983,28507.19389364,50820.57142956,22666.14426038,46308.92822369,44218.4027959,44884.61565862,20883.7611622,40870.96857334,56897.32451532,10193.98455323,26520.95464334,12129.00246808,22459.36435893,33277.10397612,25822.83642138,39790.71553509,16263.5073199,75646.22579238,36273.03249962,28610.85258447,16223.95578789
"Gln_1.1",1095.62591633,1337.81431532,2347.23281476,1371.70736434,1501.5013969,2979.88461858,8471.62740959,1864.00389148,7648.79563921,1714.67276153,1617.56774221,1524.95814454,467.34765536,1185.68759215,0,4595.33503277,576.19517266,2733.03065416,191.50982481,3655.92078244,1293.59493762,381.07243724,91.88855126,1305.15423788,2380.60971427,1508.19893952
"Gln_2.2",1771.23337081,2157.24965347,2810.75355477,1132.66582184,1851.39240488,2651.7015769,5388.42745612,1932.41731556,5212.41727683,2171.5370542,2278.22592068,1580.06381185,1241.95343332,2210.04943825,0,3138.8606363,0,1640.83181622,0,2631.35208196,1785.20689887,0,1426.08586385,1798.57023924,1643.22127608,1642.05502933
"Gln_3.3",8528.03814868,12067.89243905,9426.00979383,7257.12687368,7288.70837034,7176.22204186,18963.78773711,9751.86572906,20140.68885859,11166.19635779,11452.90369996,5806.12339998,5178.71556332,11946.44791498,0,9127.5431909,2355.38620713,5839.30721283,2729.63245523,9167.65633761,8552.42620695,0,5479.72434368,9263.14041351,7724.00934662,5192.0628357
"Gln_4.4",155862.60341037,165659.10459572,93931.31193668,125686.43085095,80757.34688351,47084.90172172,109369.93696086,103101.28633324,144362.32332406,152594.68017404,155249.29582967,57728.50334681,90389.68645888,169651.35951445,17713.77134568,58789.18049389,31711.14783208,36242.60373926,50763.06409293,57425.37286249,126222.49944537,15021.59088252,104274.24984755,127550.39357655,80410.59261944,59397.15182548
"Gln_5.5",3975709.09737802,4205596.40181038,2407556.11847865,3217165.04578966,2079760.54287872,1173780.96956844,2873543.86378567,2554397.48528556,3678368.06503691,3864565.92612127,3903897.48738871,1543177.56885901,2235807.27024982,4237334.92980166,420513.06855071,1452305.99895188,820867.49160232,893611.48638005,1317492.00868913,1530506.34629384,3248776.3766156,365809.38942954,2680718.26409839,3279544.44675364,2066569.77927608,1565101.08578608
