"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27"
"Ala_0",0.0271500691935447,0.00696336302477782,0.916099929515133,0.00674038778163969,0.00724016863587247,0.92845122855705,0.00984007780442681,0.0152152930158687,0.958151384843218,0.202035596026567,0.0941417666765509,0.025870070834067,0.958859175381573,0.103553502097238,0.0138425778364873,0.61410477223443,0.00476956286285106,0.0233180118260147,0.589654395360431,0.00442520053660504,0.200584819602113,0.61537858610748,0.925963943094305,0.0157712031460741,0.202876753262984,0.0922799908012004,0.959488725186638
"Ala_1",0.00430688067055041,0.984710603375121,0.0615074594399145,0.0225378355611662,0.984849769082942,0.0524670277408355,0.976911417028633,0.973767283135192,0.0391056076195102,0.398490200833051,0.546311691939899,0.00697247037826995,0.0315864954155789,0.52546192469269,0.974708737530521,0.334559023816983,0.022809305136541,0,0.343336114802357,0.0231215524970089,0.390354579589756,0.328743526787894,0.0540215363669577,0.97355590849591,0.400472473779796,0.544034128473945,0.0318072486078158
"Ala_2",0.958570504176534,0.00832603360010102,0.0100742814930535,0.0126490522058888,0.00791006228118502,0.00994381162866775,0.0132485051669407,0.011017423848939,0.00274300753727133,0.203013670172943,0.0967649274522655,0.951881854640261,0.00155062826236163,0.105727799506773,0.0114486846329917,0.0389385968916508,0,0.960337277871117,0.0460490945560371,0.000827072927084843,0.207382010963629,0.0400586020722141,0.0095228753144798,0.0106728883580156,0.203379482773573,0.0985282987819973,0.0023037563847542
"Ala_3",0.00997254595937128,0,0.0123183295518989,0.958072724451305,0,0.00913793207344695,0,0,0,0.196460532967439,0.262781613931285,0.0152756041474023,0.00800370094048657,0.265256773703299,0,0.012397607056936,0.972421132000608,0.0163447103028686,0.0209603952811758,0.971626174039301,0.201678589844502,0.0158192850324111,0.0104916452242573,0,0.193271290183647,0.265157581942857,0.00640026982079171
