"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27"
"Ala_0",0.0271629217232197,0.016356493436139,0.944947890527028,0.00681078538050929,0.0166113933895487,0.957935520546341,0.0194731058052242,0.024719459108702,0.989466926921707,0.207286986638775,0.0999919099621802,0.0259152617344295,0.989858425349067,0.109215099762764,0.0233735827643555,0.632468103115462,0.00497932199807925,0.0235564095391207,0.606944641223798,0.00455154163926804,0.20568148840562,0.633629385012015,0.955297953092371,0.0252548548531474,0.208180654609618,0.0980854151813766,0.990570679675609
"Ala_1",0.0225812306607921,0.983643506563861,0.0328423290499047,0.0222976034950406,0.983388606610451,0.0231345439417478,0.980526894194776,0.975280540891298,0.00824763341861316,0.397578062540389,0.545958783672949,0.0251642451905255,0.000456360764941475,0.524911299874172,0.976626417235644,0.322363444821952,0.0226655233348264,0.0170768362463878,0.331984356347226,0.0227042252013543,0.389427569715633,0.316359319744501,0.024806772789342,0.974745145146853,0.39959946657545,0.543688492028665,0.000677802276182942
"Ala_2",0.950255847615988,0,0.00968879011393277,0.0400526636800449,0,0.00966522647102123,0,0,0.00228543965967999,0.200776380932886,0.0928490041831295,0.944009535193148,0.00148634396589042,0.102326843953872,0,0.0329314658241374,0.0264332177383069,0.953417469396337,0.0402094356690891,0.0289225714159269,0.205423421027122,0.0343042957609302,0.00923858155425734,0,0.201029944253652,0.0947166614250959,0.00220607489512045
"Ala_3",0,0,0.0125209903091348,0.930838947444405,0,0.0092647090408898,0,0,0,0.19435856988795,0.261200302181742,0.0049109578818965,0.008198869920101,0.263546756409192,0,0.0122369862384484,0.945921936928787,0.00594928481815466,0.0208615667598873,0.943821661743451,0.199467520851625,0.0157069994825533,0.0106566925640296,0,0.19118993456128,0.263509431364862,0.00654544315308718
