"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27"
"Ala_0",0,0.00060103,0,0,0.00072028,0,0.00150463,2e-08,6.14e-06,0,0,0,0,0,0.00055122,0,0,0,0,0,0,0,0,0.00110073,0,0,0
"Ala_1",0,-3.839e-05,0,0,-4.676e-05,0,-0.00011291,0,-0.00055994,0,0,0,0,0,-4.984e-05,0,0,0,0,0,0,0,0,-0.00010771,0,0,0
"Ala_2",0,-0.01489515,0,0,-0.01909853,0,-0.02731634,-5e-07,-0.02622051,0,0,0,0,0,-0.01392117,0,0,0,0,0,0,0,0,-0.03223445,0,0,0
"Ala_3",0,Inf,0,0,Inf,0,Inf,Inf,Inf,0,0,0,0,0,Inf,0,0,0,0,0,0,0,0,Inf,0,0,0
