"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Glu_3.3",188.580963668417,10621.5088155537,0,46.4834624687878,0,394.48094758659,727.944208602953,0,1296.30398270747,762.94274493384,2457.0526880051,7921.37551739494,86.7391820693411,0,692.629523631464,6831.22783017207,1135.49952079989,4662.89310401285,1288.21671367252,2352.70099766116,0,1827.14127437205,0,484.604003474455,545.533939947532,0,1334.21209443375,0,836.04997913058,3487.96845995551,0,0,2071.96735653197,0,363.008762718951,5122.3267234613,0,0,9278.3482541609,0,867.887524718117,2058.13090955773,12867.6157403231,5044.11023254746,2844.88455381109,0,758.157400456387,2320.49204579582,0,0,2994.83987176809
"Glu_4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glu_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glu_5.4",44792.8124767647,9854787.19385574,80072.5635832057,1130497.04631332,36429.6955968131,742832.888241347,36927.6355869375,885128.682212167,48249.9964606174,1146125.62503437,6819527.48314483,10808508.5782673,87374.7847555593,2999603.10250668,1044485.47161847,7903574.46868399,27743.9656255387,7156324.32352563,20037.3607146429,3229222.22171193,23750.388334907,0,36761.98799683,27047.3912166791,31150.0295484883,105743.529584958,81982.6880601478,51337.8214921356,46164.931078314,6076947.24098108,3179181.69452096,1056867.79168487,5085146.25935779,79133.349411592,30864.691622603,6679502.27669065,1148227.53541429,0,8304637.81486635,809321.844707941,3756025.15255648,18260.1505320833,9334523.38980805,7214565.03753036,7563708.54959647,3089191.84462409,45004.6995876131,6520629.62488958,3492638.08385461,36547.6152363488,7286457.60530059
"Pro_0.0",2791652.45515275,2165486.27633787,2896552.60471752,3364792.33298733,2301594.14155722,3249122.68124702,3831219.44909844,3104152.08813765,3373235.54603983,3256643.67400953,3448609.82212524,2371096.52136227,3153298.50235952,2404027.88801453,2186903.32881789,1913099.0518585,2344655.74624847,2723130.42176663,1820200.89438055,2494451.23803666,3751211.48934803,433000.210848504,3006063.92378748,2862274.3777141,2772241.08837835,3684287.51132768,3793825.18205063,3238847.46706642,2431028.6365479,1676505.47036219,2540634.08445613,2690427.41361213,2038216.67494342,4262743.108698,3689351.87424768,2304867.82090042,2708055.80280228,2648839.52242893,2647362.77754466,2780844.44227418,2456953.62490214,3275314.9318246,1995273.19829777,1496340.89642689,2886964.18513865,2444218.5855248,2501255.14878506,2437811.14416792,2862943.93547377,3125343.46593092,1937102.39071874
"Pro_1.1",0,29538.2032355514,7041.8549580025,0,4125.99566772754,0,4373.83766981799,0,8744.33347730355,0,0,34344.2179836288,0,0,0,11372.593458691,0,0,0,0,0,0,0,0,0,0,0,0,0,2647.71665834167,2816.1531183624,0,2483.0527940025,0,0,15898.8064364654,1841.28779655752,0,27261.4257063226,0,0,0,12003.72117595,5013.84438946093,0,0,0,12942.1272236868,0,0,5463.7149142532
"Pro_2.2",0,21924.9115808687,2387.05356620333,2727.76806317551,1940.32389641304,3806.93210507453,3945.19771556527,0,1137.21171656201,0,14099.9171864842,27880.0215944403,0,1491.79337421629,993.617099327447,13929.2799494804,2243.5935723128,11738.3443690121,2206.19535139244,1978.62572437235,10736.0194865808,0,2695.05483145058,3727.61458488636,2335.7728063527,1822.29319790935,3258.77423891868,707.071173579929,2628.21964013387,8373.81359661954,1273.00870667677,704.383941440553,5392.6950180443,0,1411.60063057523,27027.2164545722,4304.95725286409,467.909737144917,28018.4746088725,2450.23420665418,0,3296.49053696514,14221.7276824942,13009.6518287532,2200.48032866092,1973.86276153383,2362.79398198418,9246.16322681975,4360.40024831462,6221.79392600291,8765.42107611622
"Pro_3.3",0,104782.669354103,0,0,0,0,0,0,0,0,45219.8815607871,115549.758930321,0,0,0,51304.631393177,0,26074.1175945047,0,0,0,0,0,0,0,0,0,0,0,28371.4849918103,0,0,15788.2543365192,0,0,97538.862221829,0,0,129906.215258911,0,0,0,72142.6716507705,35459.7927219342,23826.1542304761,0,0,42091.3427371021,0,0,33884.9472589638
"Pro_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pro_5.5",0,363895.325332743,0,0,0,0,0,0,0,0,190633.804873191,429470.982065479,0,20974.2324023638,0,174376.275807799,0,100956.992068739,0,16637.5010296652,0,0,0,0,0,0,0,0,0,111609.400486361,13873.942836503,0,57370.0084707163,0,0,341286.361924862,0,0,448474.914300422,0,22339.994413825,0,217567.624744879,122992.518594884,81519.293079143,11251.6903685458,0,157952.40964801,25069.4269347002,0,117806.040641553
"Asp_0.0",24690522.3400323,28072081.3555301,26425381.5950712,24486342.8882856,17692465.3975185,23880875.8778524,27003485.5314911,20365826.4194254,25433337.4913485,21642958.256228,25985847.1210368,22139550.2033812,27513227.3177539,23672788.034323,20100077.6896387,21540115.7684932,24314671.732236,26771758.6595543,18942855.7716156,24021412.7917495,24191894.0803751,235626.443066469,22540532.2125995,22719746.0156485,26550308.7415375,24876846.7278681,27320115.9517315,25299384.3112045,20491268.6504738,15730403.4324345,21458948.3121067,24398974.5897319,19562530.7841197,24333303.5332782,23949707.4441545,21814846.7474725,24784232.93882,9179983.26147578,26171926.1802058,22111729.3202911,25339063.0730087,21562285.926231,25732393.754629,17667329.4776527,24349938.7881584,21208318.4959288,19035434.7506928,24149340.0177811,21409240.6679454,23957874.1135197,18412026.2625615
"Asp_1.0",25882.3731920311,54185.6771402286,0,81451.5486822226,34373.4763551387,57199.7112336933,44596.0775354009,35774.1711691747,47354.9106868042,63545.0730301716,114390.604657753,63452.9989444536,19232.4359217434,92343.8456453482,17583.7124594153,66079.5565864313,34017.6344215147,58388.8921622024,28430.0774958984,107029.997505073,53986.3287653782,482.656322825182,13300.2327002663,53226.7327562369,122523.087562193,88554.0506793012,132053.610687394,54927.6784563458,50146.1878458481,0,74150.1604423271,102426.795669723,37116.707237076,24790.8424134342,61619.0856381772,49248.1594781306,74065.2106252405,6527.33518062268,7210.69504285925,72711.6756560053,12502.6328182526,69644.1076914569,89180.8208180567,66848.8749940079,78741.6633781879,97812.5639382458,121370.609905422,83601.0585998101,4292.80707766375,72812.6190736785,19579.8703705742
"Asp_1.1",59520.1086298355,211936.870138445,45572.2924201717,57904.7111905938,72783.4633061587,145957.518655878,236234.239382389,157330.562099312,141343.133438375,60692.371672635,343312.24490913,158606.284499218,174716.998573829,159816.003572921,147857.386656536,139793.18601618,50311.1461099305,248604.749864669,19667.4936742556,196076.588396553,20281.7099684445,287.06363752559,150013.924579049,122296.667809292,222992.455716942,175481.627597364,282368.499236806,92558.1973042964,143965.179437955,6954.85259487494,115541.380197401,286821.438493145,119555.421985647,65655.921196078,53690.2968679731,114249.984112164,252313.383365724,0,176676.567698705,263271.545037308,18590.1781299873,67334.3554698255,239496.852229973,83087.8065406825,260802.222176012,204245.036463078,96017.2363268711,193333.826264303,7949.5974339123,233189.213365794,106033.113611177
"Asp_2.1",4208.61384517971,109248.019475976,5029.13844514968,0,0,0,0,0,0,0,38151.3257071997,110050.120780326,957.457210208213,1027.41450251336,0,79576.0882248931,6450.13576963531,82216.8081440712,900.389180860516,14875.3558121027,1225.00621244485,0,854.559563936882,5429.97587462624,0,0,0,592.998964703583,0,54369.9306736516,6146.72332789796,0,43998.6309352794,1608.48737925628,0,88322.6750568555,0,151.020830945288,101301.940814879,0,13053.6311150583,4173.19384563245,122440.387154838,72655.0286838238,47280.628074857,4985.57228416112,0,48033.4430591191,16068.5548551331,0,59969.041690645
"Asp_2.2",12336.9861174583,132822.845197166,20754.1391609252,24335.8935102548,14207.4879769664,0,16326.6074675975,15045.6359821288,13518.1255583745,20251.3779215818,57813.8459991174,124814.531490081,1208.07811417764,29500.2521369836,1097.53041130059,95352.0540641336,13607.9189161153,79257.0463087308,8607.84236319712,29263.0415774908,22573.5232110263,0,5081.70471684758,27502.7540069335,10944.8180019754,2942.25076907426,22000.4858176305,6994.60993161902,4638.0694076338,63540.9272982592,20649.6197637309,6263.51111719639,60751.0159414424,19679.7841285215,20549.543308793,117160.860320888,10491.2467026187,0,119051.277908528,22147.5995250547,24258.0398924309,0,123949.989031496,91061.3609140068,72846.0190765173,36278.030208753,16935.5377814007,81541.5951714903,20572.3466396867,26617.5172884856,71790.3867407303
"Asp_3.2",0,31290.1149006175,0,0,0,343.067080258659,0,0,0,735.032865060583,16577.1061332481,31426.2996918036,530.630081289629,3604.18642050396,174.59683415224,24564.5080524007,0,19167.2771466088,964.397670267426,5440.57144856439,0,0,574.963433214728,0,0,0,0,0,0,14341.7923473239,3678.93475361105,0,10065.0570322224,0,0,24293.7304396435,0,0,24867.0705092115,83.9975503766275,624.113366189475,741.393433606853,27462.2998116634,22592.7580984717,19026.6552010303,3592.52915445295,0,8361.7080980581,6177.20106116204,0,18348.5440533864
"Asp_3.3",1420.55141045207,32779.2450664206,0,1318.04679968523,841.514339818446,1134.22667316088,0,0,1598.45156333131,746.943629084097,19216.4645868743,30707.33836282,1817.03378131989,1546.19416806537,2936.93496066712,24778.4495178864,223.285306056472,20316.2614491543,0,7407.35660445084,729.825546011582,0,2074.49584376226,0,1654.23599041155,880.154730919873,292.037227799216,2243.33454184274,0,14332.1414200621,5043.06886388869,1415.27098100599,15871.3410659537,2641.47281478843,1432.97120770025,20573.3936632084,4074.64607336301,2294.55353970797,28940.3404914237,0,2962.25826274972,6559.18791164442,29343.811224099,22235.4835240148,16913.3718240574,4294.35382538822,445.799348851712,12593.5405843353,4672.61834251699,0,15891.8397808445
"Asp_4.3",0,809722.313851236,0,33241.6891368741,0,11093.0554482202,0,27101.216916309,0,22849.6712376901,559228.242273689,936089.07266225,8567.53953980545,175820.027980686,10871.2225690979,698656.78147399,0,612409.826076121,0,241858.561582291,0,0,0,0,0,0,8686.3571944404,0,0,428632.577811123,200557.320712693,32746.2131192788,402482.916304134,8098.40730026242,8828.69636982849,749611.924286667,28598.3539967497,0,743751.000028137,10556.0822851426,122631.118659362,0,933484.066289488,583323.107397735,543332.377789084,212789.654893301,0,455753.066978927,205032.737253231,0,528397.249040486
