"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Gly_1.1",1941.40402852,8623.26554314,5749.00536587,5730.00227043,3810.51100654,4958.77537616,5741.55537617,10383.43148794,393.65313987,3124.10938704,8333.8967278,5205.03301978,2181.99853849,2920.67507337,5076.74147293,5511.42225246,2561.82617485,4182.24599828,2499.29412266,4028.30451393,5158.87065019,12957.15163462,1666.52413562,4011.13541442,2587.64139081,4482.21432405,2871.2764741,1955.10975699,2765.05710178,2978.3190498,2629.1335581,9027.91963227,2113.13903299,5530.71774183,6344.00554897,4995.55420678,1814.09196107,3810.09012809,6536.46523056,3489.17409444,3285.26905015,3389.02925305,2708.31759306,2124.53649188,4805.60935454,5577.60365649,4157.90917326,7055.58433403,2972.30374862,5178.80793985,3602.76109096
"Gly_2.2",8541.81548864,0,11343.7429037,12329.88192772,0,13710.61750377,12679.60104382,11893.04277386,11648.47894324,0,11373.18158483,8275.2561795,14101.1878042,12483.15588191,0,0,11321.28004206,11543.05914194,0,0,13248.32698076,41664.28024483,14181.47984968,0,12262.50713653,14499.15948582,17001.13807847,12834.84068224,12046.78248574,0,9568.54465619,11402.90976184,9267.82429417,15649.58799679,15369.39352831,0,0,14897.82943417,0,0,0,11574.58455886,0,0,0,10218.82466827,0,10592.74624901,11853.99547514,12794.96249001,0
"Ala_0.0",0,241421.15481981,0,0,0,0,0,0,0,0,141396.13434302,404599.01410797,0,0,0,442658.48009528,0,106284.96917852,0,0,0,953942.59971571,0,0,0,0,0,0,0,55994.52727753,0,0,102324.91657424,0,0,331198.00301605,0,0,467323.23423451,0,0,0,286234.13994074,249239.48954917,172981.85918916,14737.0434815,0,72326.02205419,0,0,77497.07436873
"Ala_1.0",0,1165.86264134,0,0,0,0,0,0,0,0,459.37436659,4066.63932901,0,0,0,2402.99417115,0,1196.21046267,0,0,0,2475.56637184,0,0,0,0,0,0,0,2651.18799139,0,0,679.34929384,0,0,2654.59603536,0,0,0,0,0,0,2547.14532309,71.50060873,1006.35262435,0,0,1833.04246693,0,0,0
"Ala_1.1",0,7078.80398113,0,0,0,0,0,0,0,0,2928.41580702,3854.78115251,0,0,0,3855.25586843,0,2980.39259552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1748.05774299,0,0,2977.42321978,0,0,3524.06377799,0,0,0,3802.53333277,1656.54878681,212.80397497,0,0,3426.17601635,0,0,0
"Ala_2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ala_2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ala_3.2",0,7972.39086645,0,0,0,0,0,0,0,0,7539.12236189,15821.76881215,0,0,0,14278.55542124,0,8114.91954664,0,0,0,0,0,0,0,0,0,0,0,3437.60442149,0,0,5526.12904414,0,0,16929.77609358,0,0,14864.90398396,0,0,0,12789.70593811,8072.72842265,7433.45566767,0,0,4312.67508257,0,0,4380.20380755
"Orn_0.0",94173403.9745197,107320609.166218,107864472.458117,110173336.686544,80949949.473127,81838621.8594272,117131626.989406,95843116.0545584,117822484.698853,15246042.8394091,111611476.637139,55233791.0393736,117197387.665221,103092535.123836,87933680.0174725,92556082.1899386,93461564.9431313,97648034.6939949,98144247.7141406,89282317.0058857,109383844.723575,103208461.72113,16045863.2037802,86277767.4964685,113432086.056094,66259848.0337924,123414269.97334,24852613.9732883,39610276.3428085,33104750.4214129,88155442.9813058,92459862.8704294,79110677.8099586,103711419.04495,105045584.888793,96134526.9659651,107783012.086919,103096655.558548,106359510.337365,90240127.7699104,103116855.391386,97524601.9186753,94752759.9199245,85401725.3720541,90135332.9494905,90062188.4339494,87696802.6078962,102964761.15392,20435781.5740611,90713774.5086515,38112364.721134
"Orn_1.1",2839402.84508203,4736345.04535801,4564112.08835241,4310409.51307603,1875827.59529444,1856425.37307675,6207616.5331237,2844838.23641747,5345390.40840962,70731.1868382,4536385.23561199,993695.89985781,5037695.34721354,3077771.53782278,2538182.50146968,2303924.89378635,2872963.69651572,3468737.00132538,3215167.65832247,2813505.45450061,4177325.24285153,3864906.84856471,0,2350275.92426342,5427012.77164286,1100083.24290422,5654479.76421216,0,0,321524.7984093,2395597.61617137,2988246.75859168,1441957.88930663,3189227.1221229,4729133.18637022,3105149.26479708,4118719.09121163,3818375.55897818,4470201.70246451,2351469.69490354,3942359.2590586,3024136.94282622,2883833.91330273,2623546.75373498,3028962.27448082,2360933.92285519,2166653.79684461,3386025.25765678,0,2319583.88894952,470959.27332337
