"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Glu_5.4",-0.00154198,-0.00160925,-0.00144977,-0.00332047,-0.00149951,-0.0010209,-0.00239863,-0.00281222,-0.00140708,-0.00160504,-0.00227985,-0.00160962,-0.00332549,-0.00154207,-0.0010438,-0.00328244,-0.0027335,-0.0016543,-0.00236923,-0.00156292,-0.00100351,-0.0010665,-0.0016282,-0.0028621,-0.00224839,-0.00279272
"Gly_0.0",-4.636e-05,0,-1.89e-06,0,-3.317e-05,-1.01e-06,0,0,-2.03e-06,0,0,-1.6e-07,0,0,-3.35e-06,0,0,0,0,0,-3.194e-05,-1.011e-05,-6.522e-05,0,0,0
"Gly_1.1",Inf,0,-0.00204937,0,-0.03607596,-0.00151066,0,0,-0.00427775,0,0,-0.00106758,0,0,-0.0245422,0,0,0,0,0,-0.05915163,-Inf,Inf,0,0,0
"Gly_2.2",-0.01100919,0,Inf,0,Inf,Inf,0,0,Inf,0,0,Inf,0,0,Inf,0,0,0,0,0,Inf,Inf,-0.01691744,0,0,0
"Orn_0.0",0,0,0,0,0,5e-08,0,0,0,0,0,0,0,0,2.9e-07,0,0,0,0,0,0,2e-07,0,0,0,0
"Orn_1.1",0,5.02e-06,0,0,0,-1.88e-06,0,0,0,0,0,0,0,8.4e-07,-6e-06,0,0,7e-07,0,1.2e-07,0,-4.78e-06,3.7e-07,0,0,0
"Orn_2.2",0,-0.00010369,0,0,0,-0.00616457,0,0,0,0,0,0,0,-4.986e-05,-0.0134495,0,0,-4.614e-05,0,-1.192e-05,0,-0.01303046,-1.314e-05,0,0,0
"Orn_3.3",0,-0.001887,0,0,0,Inf,0,0,0,0,0,0,0,-0.00292317,Inf,0,0,-0.00106119,0,-0.00046244,0,-Inf,-0.00038105,0,0,0
"Orn_4.4",0,Inf,0,0,0,-0.01093055,0,0,0,0,0,0,0,Inf,-0.41320115,0,0,Inf,0,-Inf,0,-0.23362031,Inf,0,0,0
"Orn_5.5",0,-0.0001886,0,0,0,0.00071611,0,0,0,0,0,0,0,-0.00031677,0.00595812,0,0,-9.317e-05,0,-4.91e-05,0,0.00334511,-3.598e-05,0,0,0
"Pro_0.0",0,2e-08,0,0,0,1.5e-07,0,2e-08,0,1e-08,0,0,0,0,0,0,1e-08,0,0,0,-1.1e-07,-1e-07,0,1e-08,2e-08,3e-08
"Pro_1.1",5.68e-06,2.672e-05,0,1.08e-06,0,-0.00403965,0,4.77e-06,0,1.074e-05,0,4.1e-07,1.05e-06,0,0,1.52e-06,3.31e-06,1.91e-06,0,9.9e-07,-0.00616194,-0.00144175,0,2.82e-06,5.26e-06,7.14e-06
"Pro_2.2",-6.109e-05,-0.00024656,0,-1.75e-05,0,-Inf,0,-6.288e-05,0,-9.759e-05,0,-6.12e-06,-1.591e-05,0,0,-2.56e-05,-4.13e-05,-2.163e-05,0,-1.342e-05,Inf,-Inf,0,-3.606e-05,-5.108e-05,-8.995e-05
"Pro_3.3",-0.0005578,-0.00154042,0,-0.00017879,0,Inf,0,-0.00051413,0,-0.00065683,0,-4.321e-05,-0.00016545,0,0,-0.00024358,-0.00033074,-0.00013564,0,-0.00010973,Inf,Inf,0,-0.00029162,-0.00036177,-0.00070596
"Pro_4.4",Inf,Inf,0,-Inf,0,-0.07988904,0,Inf,0,Inf,0,Inf,Inf,0,0,Inf,Inf,Inf,0,Inf,Inf,Inf,0,Inf,Inf,Inf
"Pro_5.5",-0.0001254,-0.00030829,0,-7.015e-05,0,Inf,0,-0.00017191,0,-0.00013743,0,-1.008e-05,-6.869e-05,0,0,-9.455e-05,-0.00010477,-2.746e-05,0,-2.376e-05,-0.00397685,-0.07858753,0,-9.494e-05,-8.749e-05,-0.00022446
"Ser_0.0",-2.64e-06,-3.89e-06,-4.3e-07,0,-1.67e-06,-2.1e-06,3e-08,0,-2.31e-06,0,0,-1.89e-06,0,-3.88e-06,-1.79e-06,1.2e-07,4e-08,-2.16e-06,0,0,-1.53e-06,-2.31e-06,-2.7e-07,0,6e-08,-2.17e-06
"Ser_1.1",-0.00481626,-0.0052301,-0.00286944,0,-0.0027752,-0.01580583,-3.75e-05,0,-0.00383075,0,0,-0.0041574,0,-0.00681108,-0.00352677,-0.00020117,-8.18e-05,-0.0042049,0,0,-0.00237044,-0.00424224,-0.00048461,0,-4.543e-05,-0.00303134
"Ser_2.2",Inf,Inf,Inf,0,Inf,-Inf,-0.00410792,0,Inf,0,0,Inf,0,Inf,Inf,-0.08168246,-0.01370142,Inf,0,0,-Inf,Inf,Inf,0,-0.00549845,Inf
"Ser_3.3",-0.05881727,Inf,-0.01356684,0,-0.89850391,Inf,Inf,0,-0.0922828,0,0,-0.08474251,0,-0.22823809,Inf,Inf,Inf,-0.03598168,0,0,Inf,-0.65098286,-0.00772782,0,Inf,-0.05803982
