"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26"
"Ala",0.00155573,0.01269004,0.00054156,0.00187031,0.00069204,0.00047621,0.02436668,0.0043216,0.00068186,0.01931541,0.02415992,0.0020402,0.00245544,0.00110067,0.00013768,0.00315141,0.00469319,0.02381526,0.02738542,0.0020732,2.192e-05,0.0006661,0.0206644,0.00639189,0.01848777,0.00543492
"Asp",0.01578181,0.02764932,0.01750358,0.29991665,0.02149181,0.00727528,0.54640114,0.44941683,0.01441241,0.02829418,0.55015288,0.02036086,0.3057849,0.01751122,0.00954766,0.32910103,0.46500815,0.03230506,0.54253793,0.01590805,0.00888611,0.01039169,0.03007777,0.45812606,0.55029499,0.45901108
"Glu",0.29939956,0.41997435,0.26312169,0.33711707,0.28931919,0.18967431,0.59909319,0.49469332,0.24970503,0.42701733,0.60661657,0.33561041,0.33281644,0.30242287,0.18840608,0.35301224,0.51365848,0.4427864,0.59175132,0.29398077,0.19502845,0.19154914,0.43238483,0.49140453,0.61316212,0.49645235
"Gly",0.00119193,0.0020633,0.00665762,0.00529191,0.0066396,0.00482428,0.00974028,0.00504154,0.00344257,0.00584563,0.00652088,0.00106619,0.00238747,0.00199174,0.00099568,0.00348741,0.00544092,0.00298672,0.00794586,0.00329883,0.00392147,0,0.00109853,0.00733051,0.00714803,0.006566
"Orn",0.0140796,0.04607775,0.00951896,0.04691201,0.01716171,0.00691272,0.08144304,0.09600935,0.0114132,0.02870522,0.04861821,0.02252566,0.04310445,0.01629636,0.01249505,0.08030834,0.07735164,0.03807812,0.05043978,0.01892192,0.00713693,0.01073059,0.03364431,0.13614631,0.11611274,0.13687358
"Pro",0.08773076,0.29537768,0.0474895,0.23402395,0.06537514,0.00076814,0.545025,0.4021641,0.04298614,0.26826598,0.54846273,0.11782354,0.22216012,0.09539644,0.00119283,0.25540645,0.4145509,0.28747843,0.53930288,0.09074642,0.00240314,0.00095701,0.26166749,0.41685205,0.55242576,0.41829546
"Ser",0.00266496,0.00337279,0.00082975,0.00363779,0.00265568,0.0005947,0.00473781,0.003108,0.00279932,0.00440311,0.00296664,0.00213691,0.02777517,0.00261561,0.00248048,0.0027204,0.00258782,0.00260136,0.00418142,0.0016818,0.00287625,0.00242671,0.00260379,0.00264119,0.00654566,0.00336149
